ID,store_ID,article_ID,businessDate,expiresOn,hoursToExpiry,onHand,forecastSellThrough,projectedWaste,recommendedDiscountPct,expectedRecovery,wasteCostAvoided,marginImpact,currency_code,criticality,state,reasoning
MD-000016,HAM01,AR00243,2026-07-03,2026-07-04,7,4.845,0.309,4.536,50,1.78,1.91,2.97,EUR,1,OPEN,5 units on hand against 0.3 expected to sell in the 7h left. A 50% markdown lifts expected sales to 1.5 units and recovers EUR 1.78 instead of writing off 4.5 units.
MD-000017,BLN01,AR00157,2026-07-03,2026-07-05,25,5.133,0.2,4.933,50,1.75,1.85,2.88,EUR,1,OPEN,5 units on hand against 0.2 expected to sell in the 25h left. A 50% markdown lifts expected sales to 1 units and recovers EUR 1.75 instead of writing off 4.9 units.
MD-000018,HAM01,AR00240,2026-07-03,2026-07-04,7,4.749,0.38,4.369,50,1.67,1.82,2.81,EUR,1,OPEN,5 units on hand against 0.4 expected to sell in the 7h left. A 50% markdown lifts expected sales to 1.9 units and recovers EUR 1.67 instead of writing off 4.4 units.
MD-000019,HAM01,AR00164,2026-07-03,2026-07-05,22,3.005,0.191,2.814,50,1.67,1.77,2.76,EUR,1,OPEN,3 units on hand against 0.2 expected to sell in the 22h left. A 50% markdown lifts expected sales to 0.9 units and recovers EUR 1.67 instead of writing off 2.8 units.
MD-000020,HAM01,AR00244,2026-07-03,2026-07-04,7,3.137,0.266,2.871,50,1.53,1.65,2.56,EUR,1,OPEN,3 units on hand against 0.3 expected to sell in the 7h left. A 50% markdown lifts expected sales to 1.3 units and recovers EUR 1.53 instead of writing off 2.9 units.
MD-000021,BLN01,AR00095,2026-07-03,2026-07-07,59,5.605,0.226,5.379,50,1.35,1.45,2.26,EUR,1,OPEN,6 units on hand against 0.2 expected to sell in the 59h left. A 50% markdown lifts expected sales to 1.1 units and recovers EUR 1.35 instead of writing off 5.4 units.
MD-000022,WDF01,AR00095,2026-07-03,2026-07-07,81,5.377,0.22,5.157,50,1.32,1.41,2.19,EUR,1,OPEN,5 units on hand against 0.2 expected to sell in the 81h left. A 50% markdown lifts expected sales to 1.1 units and recovers EUR 1.32 instead of writing off 5.2 units.
MD-000023,HAM01,AR00166,2026-07-03,2026-07-05,22,5.047,0.151,4.896,50,1.32,1.4,2.19,EUR,1,OPEN,5 units on hand against 0.2 expected to sell in the 22h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 1.32 instead of writing off 4.9 units.
MD-000024,WDF01,AR00157,2026-07-03,2026-07-05,33,5.995,0.149,5.846,50,1.31,1.38,2.16,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 1.31 instead of writing off 5.8 units.
MD-000025,WDF01,AR00160,2026-07-03,2026-07-05,33,5.828,0.149,5.679,50,1.31,1.38,2.15,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 1.31 instead of writing off 5.7 units.
MD-000026,HAM01,AR00242,2026-07-03,2026-07-04,7,5.644,0.221,5.423,50,1.27,1.37,2.12,EUR,1,OPEN,6 units on hand against 0.2 expected to sell in the 7h left. A 50% markdown lifts expected sales to 1.1 units and recovers EUR 1.27 instead of writing off 5.4 units.
MD-000027,BLN01,AR00071,2026-07-03,2026-07-05,25,7.988,0.208,7.78,50,1.39,1.28,2.1,EUR,1,OPEN,8 units on hand against 0.2 expected to sell in the 25h left. A 50% markdown lifts expected sales to 1 units and recovers EUR 1.39 instead of writing off 7.8 units.
MD-000028,HAM01,AR00188,2026-07-03,2026-07-04,7,7.104,0.322,6.782,50,1.33,1.27,2.06,EUR,1,OPEN,7 units on hand against 0.3 expected to sell in the 7h left. A 50% markdown lifts expected sales to 1.6 units and recovers EUR 1.33 instead of writing off 6.8 units.
MD-000029,BLN01,AR00241,2026-07-03,2026-07-04,8,5.388,0.207,5.181,50,1.19,1.28,1.99,EUR,1,OPEN,5 units on hand against 0.2 expected to sell in the 8h left. A 50% markdown lifts expected sales to 1 units and recovers EUR 1.19 instead of writing off 5.2 units.
MD-000030,BLN01,AR00159,2026-07-03,2026-07-05,25,5.352,0.136,5.216,50,1.19,1.25,1.96,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 25h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 1.19 instead of writing off 5.2 units.
MD-000031,BLN01,AR00163,2026-07-03,2026-07-05,25,5.18,0.128,5.052,50,1.12,1.18,1.84,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 25h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 1.12 instead of writing off 5.1 units.
MD-000032,WDF01,AR00159,2026-07-03,2026-07-05,33,5.94,0.127,5.813,50,1.11,1.17,1.83,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 1.11 instead of writing off 5.8 units.
MD-000033,MUC01,AR00163,2026-07-03,2026-07-05,33,5.199,0.12,5.079,50,1.05,1.1,1.73,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 1.05 instead of writing off 5.1 units.
MD-000034,WDF01,AR00158,2026-07-03,2026-07-05,33,5.381,0.112,5.269,50,0.98,1.04,1.62,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 0.98 instead of writing off 5.3 units.
MD-000035,MUC01,AR00157,2026-07-03,2026-07-05,33,5.397,0.112,5.285,50,0.98,1.04,1.62,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 0.98 instead of writing off 5.3 units.
MD-000036,HAM01,AR00005,2026-07-03,2026-07-05,22,7.248,0.438,6.81,50,1.01,1.02,1.62,EUR,1,OPEN,7 units on hand against 0.4 expected to sell in the 22h left. A 50% markdown lifts expected sales to 2.2 units and recovers EUR 1.01 instead of writing off 6.8 units.
MD-000037,BLN01,AR00158,2026-07-03,2026-07-05,25,5.179,0.112,5.067,50,0.98,1.03,1.61,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 25h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 0.98 instead of writing off 5.1 units.
MD-000038,WDF01,AR00071,2026-07-03,2026-07-05,33,7.105,0.157,6.948,50,1.05,0.97,1.59,EUR,1,OPEN,7 units on hand against 0.2 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.8 units and recovers EUR 1.05 instead of writing off 6.9 units.
MD-000039,BLN01,AR00244,2026-07-03,2026-07-04,8,3.764,0.159,3.605,50,0.91,0.98,1.52,EUR,1,OPEN,4 units on hand against 0.2 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.8 units and recovers EUR 0.91 instead of writing off 3.6 units.
MD-000040,WDF01,AR00163,2026-07-03,2026-07-05,33,5.167,0.105,5.062,50,0.91,0.97,1.51,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.91 instead of writing off 5.1 units.
MD-000041,STR01,AR00095,2026-07-03,2026-07-07,81,5.671,0.147,5.524,50,0.88,0.94,1.46,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 81h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 0.88 instead of writing off 5.5 units.
MD-000042,BLN01,AR00188,2026-07-03,2026-07-04,8,7.565,0.228,7.337,50,0.94,0.9,1.46,EUR,1,OPEN,8 units on hand against 0.2 expected to sell in the 8h left. A 50% markdown lifts expected sales to 1.1 units and recovers EUR 0.94 instead of writing off 7.3 units.
MD-000043,BLN01,AR00240,2026-07-03,2026-07-04,8,5.749,0.192,5.557,50,0.84,0.92,1.42,EUR,1,OPEN,6 units on hand against 0.2 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.9 units and recovers EUR 0.84 instead of writing off 5.6 units.
MD-000044,BLN01,AR00243,2026-07-03,2026-07-04,8,5.765,0.146,5.619,50,0.84,0.9,1.4,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 0.84 instead of writing off 5.6 units.
MD-000045,BLN01,AR00005,2026-07-03,2026-07-05,25,7.763,0.376,7.387,50,0.86,0.87,1.39,EUR,1,OPEN,8 units on hand against 0.4 expected to sell in the 25h left. A 50% markdown lifts expected sales to 1.8 units and recovers EUR 0.86 instead of writing off 7.4 units.
MD-000046,BLN01,AR00166,2026-07-03,2026-07-05,25,5.849,0.096,5.753,50,0.84,0.89,1.38,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 25h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.84 instead of writing off 5.8 units.
MD-000047,WDF01,AR00241,2026-07-03,2026-07-04,9,5.482,0.139,5.343,50,0.8,0.86,1.33,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 0.8 instead of writing off 5.3 units.
MD-000048,WDF01,AR00166,2026-07-03,2026-07-05,33,5.816,0.09,5.726,50,0.78,0.83,1.29,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.78 instead of writing off 5.7 units.
MD-000049,WDF01,AR00164,2026-07-03,2026-07-05,33,4.326,0.09,4.236,50,0.78,0.83,1.29,EUR,1,OPEN,4 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.78 instead of writing off 4.2 units.
MD-000050,HAM01,AR00135,2026-07-03,2026-07-05,22,5.748,0.096,5.652,50,0.77,0.82,1.27,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 22h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.77 instead of writing off 5.7 units.
MD-000051,MUC01,AR00071,2026-07-03,2026-07-05,33,7.534,0.12,7.414,50,0.8,0.74,1.21,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 0.8 instead of writing off 7.4 units.
MD-000052,WDF01,AR00161,2026-07-03,2026-07-05,33,5.999,0.082,5.917,50,0.72,0.76,1.19,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.72 instead of writing off 5.9 units.
MD-000053,MUC01,AR00159,2026-07-03,2026-07-05,33,5.342,0.082,5.26,50,0.72,0.76,1.19,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.72 instead of writing off 5.3 units.
MD-000054,MUC01,AR00161,2026-07-03,2026-07-05,33,5.711,0.082,5.629,50,0.72,0.76,1.19,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.72 instead of writing off 5.6 units.
MD-000055,HAM01,AR00006,2026-07-03,2026-07-05,22,6.773,0.183,6.59,50,0.76,0.72,1.18,EUR,1,OPEN,7 units on hand against 0.2 expected to sell in the 22h left. A 50% markdown lifts expected sales to 0.9 units and recovers EUR 0.76 instead of writing off 6.6 units.
MD-000056,WDF01,AR00188,2026-07-03,2026-07-04,9,7.065,0.171,6.894,50,0.71,0.67,1.1,EUR,1,OPEN,7 units on hand against 0.2 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.8 units and recovers EUR 0.71 instead of writing off 6.9 units.
MD-000057,STR01,AR00158,2026-07-03,2026-07-05,33,5.438,0.075,5.363,50,0.65,0.69,1.08,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.65 instead of writing off 5.4 units.
MD-000058,WDF01,AR00244,2026-07-03,2026-07-04,9,3.766,0.104,3.662,50,0.6,0.64,1,EUR,1,OPEN,4 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.6 instead of writing off 3.7 units.
MD-000059,BLN01,AR00242,2026-07-03,2026-07-04,8,5.203,0.102,5.101,50,0.59,0.63,0.98,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.59 instead of writing off 5.1 units.
MD-000060,MUC01,AR00160,2026-07-03,2026-07-05,33,5.705,0.067,5.638,50,0.59,0.62,0.97,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.59 instead of writing off 5.6 units.
MD-000061,MUC01,AR00164,2026-07-03,2026-07-05,33,4.57,0.067,4.503,50,0.59,0.62,0.97,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.59 instead of writing off 4.5 units.
MD-000062,WDF01,AR00243,2026-07-03,2026-07-04,9,5.113,0.1,5.013,50,0.58,0.62,0.96,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.58 instead of writing off 5 units.
MD-000063,HAM01,AR00109,2026-07-03,2026-07-05,22,7.299,0.136,7.163,50,0.62,0.59,0.96,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 22h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 0.62 instead of writing off 7.2 units.
MD-000064,WDF01,AR00240,2026-07-03,2026-07-04,9,5.339,0.126,5.213,50,0.55,0.6,0.93,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 0.55 instead of writing off 5.2 units.
MD-000065,HAM01,AR00013,2026-07-03,2026-07-04,7,7.352,0.142,7.21,50,0.59,0.56,0.91,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 7h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 0.59 instead of writing off 7.2 units.
MD-000066,STR01,AR00157,2026-07-03,2026-07-05,33,5.299,0.06,5.239,50,0.52,0.55,0.86,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.52 instead of writing off 5.2 units.
MD-000067,STR01,AR00159,2026-07-03,2026-07-05,33,5.426,0.06,5.366,50,0.52,0.55,0.86,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.52 instead of writing off 5.4 units.
MD-000068,WDF01,AR00005,2026-07-03,2026-07-05,33,7.515,0.232,7.283,50,0.53,0.54,0.85,EUR,1,OPEN,8 units on hand against 0.2 expected to sell in the 33h left. A 50% markdown lifts expected sales to 1.1 units and recovers EUR 0.53 instead of writing off 7.3 units.
MD-000069,HAM01,AR00193,2026-07-03,2026-07-04,7,7.369,0.162,7.207,50,0.52,0.51,0.82,EUR,1,OPEN,7 units on hand against 0.2 expected to sell in the 7h left. A 50% markdown lifts expected sales to 0.8 units and recovers EUR 0.52 instead of writing off 7.2 units.
MD-000070,WDF01,AR00006,2026-07-03,2026-07-05,33,7.117,0.127,6.99,50,0.53,0.5,0.81,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 0.53 instead of writing off 7 units.
MD-000071,BLN01,AR00006,2026-07-03,2026-07-05,25,7.978,0.12,7.858,50,0.5,0.47,0.77,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 25h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 0.5 instead of writing off 7.9 units.
MD-000072,HAM01,AR00189,2026-07-03,2026-07-04,7,7.257,0.099,7.158,50,0.5,0.47,0.77,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 7h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.5 instead of writing off 7.2 units.
MD-000073,STR01,AR00163,2026-07-03,2026-07-05,33,5.593,0.052,5.541,50,0.46,0.48,0.75,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.46 instead of writing off 5.5 units.
MD-000074,MUC01,AR00158,2026-07-03,2026-07-05,33,5.821,0.052,5.769,50,0.46,0.48,0.75,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.46 instead of writing off 5.8 units.
MD-000075,BLN01,AR00109,2026-07-03,2026-07-05,25,7.691,0.104,7.587,50,0.48,0.45,0.74,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 25h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.48 instead of writing off 7.6 units.
MD-000076,MUC01,AR00241,2026-07-03,2026-07-04,9,5.394,0.075,5.319,50,0.43,0.47,0.72,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.43 instead of writing off 5.3 units.
MD-000077,MUC01,AR00006,2026-07-03,2026-07-05,33,7.658,0.112,7.546,50,0.46,0.44,0.72,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 0.46 instead of writing off 7.5 units.
MD-000078,BLN01,AR00189,2026-07-03,2026-07-04,8,7.592,0.09,7.502,50,0.45,0.43,0.7,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.45 instead of writing off 7.5 units.
MD-000079,BLN01,AR00031,2026-07-03,2026-07-04,8,7.771,0.128,7.643,50,0.44,0.43,0.69,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 0.44 instead of writing off 7.6 units.
MD-000080,BLN01,AR00013,2026-07-03,2026-07-04,8,7.733,0.107,7.626,50,0.44,0.42,0.69,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.44 instead of writing off 7.6 units.
MD-000081,MUC01,AR00240,2026-07-03,2026-07-04,9,5.659,0.094,5.565,50,0.41,0.45,0.69,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.41 instead of writing off 5.6 units.
MD-000082,STR01,AR00071,2026-07-03,2026-07-05,33,7.163,0.067,7.096,50,0.45,0.41,0.68,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.45 instead of writing off 7.1 units.
MD-000083,MUC01,AR00188,2026-07-03,2026-07-04,9,7.246,0.106,7.14,50,0.44,0.42,0.68,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.44 instead of writing off 7.1 units.
MD-000084,WDF01,AR00242,2026-07-03,2026-07-04,9,5.814,0.067,5.747,50,0.39,0.42,0.65,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.39 instead of writing off 5.7 units.
MD-000085,STR01,AR00164,2026-07-03,2026-07-05,33,3.636,0.045,3.591,50,0.39,0.41,0.65,EUR,1,OPEN,4 units on hand against 0 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.39 instead of writing off 3.6 units.
MD-000086,MUC01,AR00166,2026-07-03,2026-07-05,33,5.69,0.045,5.645,50,0.39,0.41,0.65,EUR,1,OPEN,6 units on hand against 0 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.39 instead of writing off 5.6 units.
MD-000087,WDF01,AR00109,2026-07-03,2026-07-05,33,7.498,0.09,7.408,50,0.41,0.39,0.64,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.41 instead of writing off 7.4 units.
MD-000088,HAM01,AR00031,2026-07-03,2026-07-04,7,6.679,0.117,6.562,50,0.4,0.39,0.63,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 7h left. A 50% markdown lifts expected sales to 0.6 units and recovers EUR 0.4 instead of writing off 6.6 units.
MD-000089,MUC01,AR00243,2026-07-03,2026-07-04,9,5.548,0.063,5.485,50,0.36,0.39,0.61,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.36 instead of writing off 5.5 units.
MD-000090,MUC01,AR00005,2026-07-03,2026-07-05,33,7.426,0.164,7.262,50,0.38,0.38,0.61,EUR,1,OPEN,7 units on hand against 0.2 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.8 units and recovers EUR 0.38 instead of writing off 7.3 units.
MD-000091,MUC01,AR00244,2026-07-03,2026-07-04,9,4.085,0.061,4.024,50,0.35,0.38,0.59,EUR,1,OPEN,4 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.35 instead of writing off 4 units.
MD-000092,MUC01,AR00108,2026-07-03,2026-07-05,33,7.263,0.052,7.211,50,0.36,0.33,0.55,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.36 instead of writing off 7.2 units.
MD-000093,STR01,AR00160,2026-07-03,2026-07-05,33,5.265,0.037,5.228,50,0.33,0.34,0.54,EUR,1,OPEN,5 units on hand against 0 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.33 instead of writing off 5.2 units.
MD-000094,STR01,AR00166,2026-07-03,2026-07-05,33,5.706,0.037,5.669,50,0.33,0.35,0.54,EUR,1,OPEN,6 units on hand against 0 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.33 instead of writing off 5.7 units.
MD-000095,HAM01,AR00194,2026-07-03,2026-07-04,7,7.552,0.084,7.468,50,0.35,0.33,0.54,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 7h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.35 instead of writing off 7.5 units.
MD-000096,HAM01,AR00190,2026-07-03,2026-07-04,7,5.457,0.096,5.361,50,0.33,0.32,0.52,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 7h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.33 instead of writing off 5.4 units.
MD-000097,STR01,AR00241,2026-07-03,2026-07-04,9,5.457,0.053,5.404,50,0.31,0.33,0.51,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.31 instead of writing off 5.4 units.
MD-000098,BLN01,AR00193,2026-07-03,2026-07-04,8,7.405,0.1,7.305,50,0.32,0.31,0.5,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.32 instead of writing off 7.3 units.
