ID,name,group_ID,supplier_ID,unitPriceGross,unitCost,vatRatePct,currency_code,isDeposit,isRfidTagged,shelfLifeDays,abcClass,shelfCapacity,reorderPoint,isFromSapExport
AR00276,Smothie Froosh Pineapple 250ml,SMOOTHIE,SUP007,2.4,1.2515,18.9,EUR,False,True,12,A,6,2,True
AR00220,Haribo Goldbären 100g,WEINGUMMI,SUP010,1.0,0.54,7.4,EUR,False,True,0,A,6,2,True
AR00213,Twix Xtra 75g,SUSSE_RIEGEL,SUP008,1.2,0.6499,7.1,EUR,False,True,0,A,6,2,True
AR90038,"Coca Cola 0,4L Glas Mehrweg",COLAMIX_GETRANKE,SUP008,1.5,0.7815,19.0,EUR,False,True,0,A,6,2,True
AR00209,Kinderriegel,SUSSE_RIEGEL,SUP010,0.5,0.272,6.6,EUR,False,True,0,B,6,2,True
AR00013,Berliner Brezel 70g FB,SUSSE_BACKWAREN,SUP002,1.8,0.9244,7.1,EUR,False,True,1,A,6,2,True
AR00005,Manner Neapolitaner Schnitten 75g,SUSSGEBACK,SUP010,1.0,0.5126,7.3,EUR,False,True,2,A,6,2,True
AR90054,Red Bull Sea Blue Edition,ENERGYDRINKS,SUP006,1.7,0.8842,19.2,EUR,False,True,0,A,6,2,True
AR90027,Teinacher Mango Maracuja,KALTGETRANKE,SUP005,1.6,0.8322,19.2,EUR,False,True,0,A,6,2,True
AR00319,GIANT Flapjack Raspberry,SUSSE_RIEGEL,SUP008,1.2,0.6499,7.1,EUR,False,True,0,A,6,2,True
AR00054,M&M Peanut,SNACKS,SUP007,1.0,0.5493,7.4,EUR,False,False,0,A,6,2,True
AR00294,Shot Ginger Apple 60ml,KALTGETRANKE,SUP008,2.2,1.1472,18.9,EUR,False,True,0,A,6,2,True
AR90031,Teinacher classic,WASSER,SUP009,1.2,0.6263,18.8,EUR,False,True,0,A,6,2,True
AR00396,Koro Protein Bar Peanut Chocolate,PROTEIN_RIEGEL,SUP005,2.2,1.133,6.8,EUR,False,True,0,A,6,2,True
AR00322,GIANT Yoghurt Flapjack Banana,SUSSE_RIEGEL,SUP005,1.2,0.6499,7.1,EUR,False,True,0,A,6,2,True
AR00208,Kinder Country,SUSSE_RIEGEL,SUP009,0.5,0.2718,6.7,EUR,False,True,0,B,6,2,True
AR00189,Gefüllter Triple Chocolate Muffin,SUSSE_BACKWAREN,SUP006,2.2,1.133,6.8,EUR,False,True,1,A,6,2,True
AR00026,Chili & Lime Chili & Lima24 Beutel á 4,CHIPS,SUP008,1.2,0.6611,7.1,EUR,False,True,0,A,6,2,True
AR00190,Brown Donut,SUSSE_BACKWAREN,SUP010,1.5,0.7703,7.1,EUR,False,False,1,A,6,2,True
AR90033,Teinacher still 0.7,WASSER,SUP009,1.2,0.6263,18.8,EUR,False,True,0,B,6,2,True
AR00402,Bio poppy & vanilla fairness 45g,SCHOKOLADE,SUP007,1.2,0.6499,7.1,EUR,False,True,0,B,6,2,True
AR00221,Haribo Color Rado 100g,WEINGUMMI,SUP001,1.0,0.541,7.2,EUR,False,True,0,B,6,2,True
AR00068,BF ICE CREAM Himbeere Fichte 100ml Bio V,IMPULSEIS,SUP010,2.5,1.4019,7.0,EUR,False,True,0,A,6,2,True
AR90008,"Hochwald Eiskaffee 0,25l Dose",MILCHMISCHGETRANKE,SUP005,1.4,0.812,6.9,EUR,False,True,14,A,6,2,True
AR00194,Laugenbrezel mit Pfeffer,HERZHAFTE_BACKWAREN,SUP010,1.8,0.9244,7.1,EUR,False,True,1,A,6,2,True
AR00187,Twix Ice Cream Eisriegel,IMPULSEIS,SUP009,2.5,1.4032,6.9,EUR,False,True,0,A,6,2,True
AR00071,Oreo Classic,SUSSGEBACK,SUP002,2.9,1.4907,7.0,EUR,False,True,2,A,6,2,True
AR90040,FUZE T PFIRSICH,EISTEE,SUP003,1.7,0.8865,18.9,EUR,False,False,0,A,6,2,True
AR00321,GIANT Flapjack Pecanut,SUSSE_RIEGEL,SUP003,1.2,0.6499,7.1,EUR,False,True,0,B,6,2,True
AR00160,GO FRESH Tuna Sandwich,SANDWICHES,SUP002,3.8,2.2708,7.1,EUR,False,True,2,A,6,2,True
AR00157,GO FRESH Wrap Chicken Chi,WRAPS,SUP009,3.8,2.2729,7.0,EUR,False,True,2,A,6,2,True
AR00003,KitKat,SUSSE_RIEGEL,SUP009,1.0,0.5395,7.5,EUR,False,False,0,B,6,2,True
AR90042,Welde Weizen,BIER,SUP009,1.9,1.0529,19.1,EUR,False,True,0,A,6,2,True
AR90030,Teinacher Apfelschorle,KALTGETRANKE,SUP004,1.6,0.8315,19.3,EUR,False,True,0,A,6,2,True
AR00404,"Bio creamy cocos fairness 37,5g",SCHOKOLADE,SUP005,1.2,0.6499,7.1,EUR,False,True,0,B,6,2,True
AR00400,Bio cookies & choc fairness 45g,SCHOKOLADE,SUP010,1.2,0.6505,7.0,EUR,False,True,0,B,6,2,True
AR00286,"Yayla Ayran Tetra 0,25L",MILCHMISCHGETRANKE,SUP007,1.2,0.6263,18.8,EUR,False,True,14,B,6,2,True
AR00004,Duplo,SUSSE_RIEGEL,SUP002,0.5,0.2718,6.7,EUR,False,True,0,B,6,2,True
AR90010,"Monster Energy 0,5l",ENERGYDRINKS,SUP009,2.2,1.1472,18.9,EUR,False,True,0,A,6,2,True
AR00320,GIANT Flapjack Hazelnut,SUSSE_RIEGEL,SUP002,1.2,0.6499,7.1,EUR,False,True,0,B,6,2,True
AR90035,Welde Naturradler,BIER,SUP005,1.7,0.9437,18.9,EUR,False,True,0,A,6,2,True
AR90029,Teinacher Johannisbeer Holunder,KALTGETRANKE,SUP002,1.6,0.8308,19.4,EUR,False,True,0,B,6,2,True
AR90016,Red Bull Blue Edition,ENERGYDRINKS,SUP008,1.7,0.8842,19.2,EUR,False,True,0,B,6,2,True
AR00454,Airwaves Menth & Eucalypt Box,KAUGUMMI,SUP008,2.9,1.572,7.0,EUR,False,True,0,A,6,2,True
AR00407,Soft Protein Riegel Salted Peanut Carame,SCHOKOLADE,SUP010,3.2,1.7346,7.0,EUR,False,True,0,A,6,2,True
AR00159,GO FRESH Sandw Pute Ei,SANDWICHES,SUP001,3.8,2.2729,7.0,EUR,False,True,2,A,6,2,True
AR00121,Cashews gerös,CHIPS,SUP006,2.2,1.2154,6.8,EUR,False,True,0,A,6,2,True
AR00064,BLACK FOREST ICE CREAM Vanille 100ml Bio,IMPULSEIS,SUP008,2.5,1.4045,6.8,EUR,False,True,0,A,6,2,True
AR00060,Hofeis Knusperkeks 130ml,IMPULSEIS,SUP002,2.5,1.4032,6.9,EUR,False,True,0,A,6,2,True
AR00058,Hofeis Mango 130ml,IMPULSEIS,SUP002,2.5,1.4032,6.9,EUR,False,True,0,A,6,2,True
AR00057,HofEis Erdbeere Sorbet 130ml,IMPULSEIS,SUP005,2.5,1.4019,7.0,EUR,False,True,0,A,6,2,True
AR00006,Griesson Schoko Mountain Cookies 125g,SUSSGEBACK,SUP008,1.8,0.9261,6.9,EUR,False,True,2,A,6,2,True
AR00285,Starbucks Cappuccino,MILCHMISCHGETRANKE,SUP003,2.95,1.7093,7.0,EUR,False,True,14,A,6,2,True
AR00056,HofEis Joghurt Heidelbeere 130ml,IMPULSEIS,SUP010,2.5,1.4019,7.0,EUR,False,True,0,A,6,2,True
AR00002,Knoppers,SUSSE_RIEGEL,SUP003,0.5,0.2718,6.7,EUR,False,True,0,C,6,2,True
AR00333,BIO Hafer Drink Moccaccino 12 x 235ml Oa,KALTGETRANKE,SUP007,2.25,1.1723,19.0,EUR,False,True,0,A,6,2,True
AR00275,Smothie Froosh Mango 250ml,SMOOTHIE,SUP002,2.4,1.2504,19.0,EUR,False,True,12,A,6,2,True
AR00158,GO FRESH Wrap Tomat Mozza,WRAPS,SUP005,3.8,2.2729,7.0,EUR,False,True,2,A,6,2,True
AR00094,Disposable cutlery set,FREIZEITARTIKEL,SUP010,0.3,0.12,20.0,EUR,False,True,0,C,6,2,True
AR00041,Barebells Soft Protein Coco Choco 55g,PROTEIN_RIEGEL,SUP001,3.3,1.6947,7.1,EUR,False,True,0,A,6,2,True
AR90053,"Moretti Beer 0,33L",BIER,SUP002,2.0,1.1092,19.0,EUR,False,True,0,A,6,2,True
AR00397,Koro Protein Bar Butter Cups,PROTEIN_RIEGEL,SUP003,2.5,1.2862,6.9,EUR,False,True,0,A,6,2,True
AR00203,Nussschnecke,SUSSE_BACKWAREN,SUP007,2.5,1.2862,6.9,EUR,False,True,1,A,6,2,True
AR00185,Bio H Milch 1l Nature,MILCH,SUP001,2.25,1.3866,7.1,EUR,False,True,7,A,6,2,True
AR00163,GO FRESH Sandw Käse,SANDWICHES,SUP002,3.8,2.2729,7.0,EUR,False,True,2,A,6,2,True
AR00027,Black Truffle Trufa Negra 24 Beutel á,CHIPS,SUP001,1.2,0.6617,7.0,EUR,False,True,0,B,6,2,True
AR00025,Mars Ice Cream Eisriegel,IMPULSEIS,SUP009,2.5,1.4019,7.0,EUR,False,True,0,A,6,2,True
AR90021,YFood Trink Vanilla,MILCHMISCHGETRANKE,SUP008,4.9,2.8393,7.0,EUR,False,True,14,A,6,2,True
AR00283,Starbucks Caramel Macchiato,MILCHMISCHGETRANKE,SUP008,2.95,1.7109,6.9,EUR,False,True,14,A,6,2,True
AR00207,Hanuta 2er 44g,SUSSE_RIEGEL,SUP010,1.0,0.54,7.4,EUR,False,True,0,B,6,2,True
AR00111,Paprika Chips,CHIPS,SUP002,2.5,1.3798,6.9,EUR,False,True,0,A,6,2,True
AR00292,Shot Beetroot 60ml,KALTGETRANKE,SUP008,2.2,1.1472,18.9,EUR,False,True,0,B,6,2,True
AR00222,Haribo Tropifrutti 100g. 30St.,WEINGUMMI,SUP005,1.0,0.5405,7.3,EUR,False,True,0,B,6,2,True
AR00211,Mars Riegel Mars 2 Pack 70g,SUSSE_RIEGEL,SUP002,1.2,0.6499,7.1,EUR,False,True,0,B,6,2,True
AR00166,GO FRESH Sandw SweetChili,SANDWICHES,SUP006,3.8,2.2729,7.0,EUR,False,True,2,A,6,2,True
AR00164,GO FRESH Wrap Linse Falaf,WRAPS,SUP002,3.8,2.2729,7.0,EUR,False,False,2,A,6,2,True
AR00154,Snickers Protein Riegel,PROTEIN_RIEGEL,SUP003,3.2,1.6449,7.0,EUR,False,True,0,A,6,2,True
AR00109,M Cooky Spritzgebäck,SUSSGEBACK,SUP010,2.0,1.029,6.9,EUR,False,True,2,B,6,2,True
AR00095,Nissin Cup Noodles Chicke,FERTIGGERICHTE,SUP008,2.6,1.5551,7.0,EUR,False,True,4,A,6,2,True
AR00399,Gepa Schokolade Noir Edelbitter 100g,SCHOKOLADE,SUP001,2.75,1.4907,7.0,EUR,False,True,0,A,6,2,True
AR00332,BIO Hafer Drink Cappuccino Oatly,KALTGETRANKE,SUP005,2.25,1.1723,19.0,EUR,False,True,0,B,6,2,True
AR00293,Shot Cucumber Ginger 60ml,KALTGETRANKE,SUP003,2.2,1.1472,18.9,EUR,False,True,0,B,6,2,True
AR00161,GO FRESH Sanw Schink Goud,SANDWICHES,SUP001,3.8,2.2729,7.0,EUR,False,True,2,A,6,2,True
AR00448,Aramark Seasoning Mix,FEINKOST,SUP001,3.89,2.3994,7.0,EUR,False,True,5,A,6,2,True
AR00282,Starbucks Caffé Latte,MILCHMISCHGETRANKE,SUP009,2.95,1.7109,6.9,EUR,False,True,14,A,6,2,True
AR00204,Croissant Schnecke,SUSSE_BACKWAREN,SUP003,1.8,0.9244,7.1,EUR,False,True,1,B,6,2,True
AR00178,Pringles Original,CHIPS,SUP006,1.4,0.7727,6.9,EUR,False,True,0,B,6,2,True
AR00059,HofEis Omas Apfelkuchen 130ml,IMPULSEIS,SUP001,2.5,1.4032,6.9,EUR,False,True,0,B,6,2,True
AR00055,HofEis Stracciatella 130ml,IMPULSEIS,SUP009,2.5,1.4032,6.9,EUR,False,True,0,B,6,2,True
AR90041,FUZE T ZITRONE,EISTEE,SUP003,1.7,0.8865,18.9,EUR,False,True,0,B,6,2,True
AR00416,Coffee Cup Big1,KAFFEE,SUP003,2.0,1.042,19.0,EUR,False,True,0,B,6,2,True
AR00415,Coffee Cup Small,KAFFEE,SUP009,1.5,0.7815,19.0,EUR,False,True,0,B,6,2,True
AR00405,"Bio hazel nougat fairness 37,5g",SCHOKOLADE,SUP008,1.2,0.5859,18.8,EUR,False,True,0,B,6,2,True
AR00403,"Bio double milk fairness 37,5g",SCHOKOLADE,SUP008,1.2,0.5859,18.8,EUR,False,True,0,B,6,2,True
AR00318,GIANT Flapjack Blueberry,SUSSE_RIEGEL,SUP005,1.2,0.6505,7.0,EUR,False,True,0,B,6,2,True
AR00215,Red Band Briket Sup. Sauer 200St. Dose,WEINGUMMI,SUP007,6.9,3.7402,7.0,EUR,False,True,0,A,6,2,True
AR00129,BiFi Roll,SNACKS,SUP010,1.4,0.7727,6.9,EUR,False,True,0,B,6,2,True
AR00122,Pistazien ger,CHIPS,SUP001,2.5,1.3798,6.9,EUR,False,True,0,B,6,2,True
AR00101,Brezeln,SNACKS,SUP003,1.9,1.0496,6.8,EUR,False,True,0,B,6,2,True
AR00040,Barebells Caramel Choco 55g,PROTEIN_RIEGEL,SUP007,3.3,1.6963,7.0,EUR,False,True,0,A,6,2,True
AR90006,Hochwald Eis Macchiato,MILCHMISCHGETRANKE,SUP004,1.4,0.812,6.9,EUR,False,True,14,B,6,2,True
AR00401,Bio honey almond fairness 45g,SCHOKOLADE,SUP003,1.2,0.6499,7.1,EUR,False,True,0,B,6,2,True
AR00387,Apfelchips,CHIPS,SUP005,3.0,1.6527,7.1,EUR,False,True,0,B,6,2,True
AR00367,"Snack Nüsse, geröstet & gesalzen",CHIPS,SUP003,3.75,2.0658,7.1,EUR,False,True,0,A,6,2,True
AR90023,Teinacher Heidelbeer Eistee,EISTEE,SUP005,1.6,0.8329,19.1,EUR,False,True,0,B,6,2,True
AR00288,Smothie Froosh  Strawberry 250ml,SMOOTHIE,SUP007,2.4,1.2515,18.9,EUR,False,False,12,B,6,2,True
AR00223,Saltletts Sticks 75g,SNACKS,SUP007,0.7,0.3835,7.7,EUR,False,True,0,C,6,2,True
AR00219,Ritter Sport Edel Vollmilch 100g,SCHOKOLADE,SUP007,1.9,1.0328,6.7,EUR,False,True,0,B,6,2,True
AR00169,Fe Yogurette,SCHOKOLADE,SUP006,2.5,1.3564,6.9,EUR,False,True,0,B,6,2,True
AR00151,Rexona Deo Men Cobalt Dry,KORPERPFLEGE,SUP008,3.9,1.5744,18.9,EUR,False,True,0,A,6,2,True
AR00145,OralB Classic Car 35 Mit,DROGERIEARTIKEL,SUP003,1.1,0.4422,19.4,EUR,False,True,0,C,6,2,True
AR00120,Studentenfutt,CHIPS,SUP005,2.0,1.1028,7.0,EUR,False,True,0,B,6,2,True
AR00115,Mentos Gum Pure Frost,BONBONS,SUP005,3.5,1.899,6.9,EUR,False,True,0,B,6,2,True
AR00114,Pringles Sweet Paprika,CHIPS,SUP001,1.4,0.772,7.0,EUR,False,True,0,B,6,2,True
AR90051,Untou Bio Matcha Zitrone,KALTGETRANKE,SUP007,1.6,0.8308,19.4,EUR,False,True,0,B,6,2,True
AR90050,Untou Bio Matcha Lime,KALTGETRANKE,SUP007,1.6,0.8315,19.3,EUR,False,True,0,B,6,2,True
AR90025,Teinacher Mineralwasser Naturell 0.33,WASSER,SUP009,1.2,0.6263,18.8,EUR,False,True,0,C,6,2,True
AR00441,HANDL Veggie Almjäger,SB_WURSTWAREN,SUP005,2.79,1.7225,6.9,EUR,False,True,7,B,6,2,True
AR00406,Riegel Vegan Peanut Caramel 55g Barebell,SCHOKOLADE,SUP003,3.2,1.5597,19.0,EUR,False,True,0,B,6,2,True
AR00398,Gepa Schokolade Vollmilch 100g Bio Voll,SCHOKOLADE,SUP006,2.35,1.2738,7.0,EUR,False,True,0,B,6,2,True
AR00386,"Mostbuben  Stille Apfelsaftschorle 0,5",KALTGETRANKE,SUP006,2.0,1.0429,18.9,EUR,False,True,0,B,6,2,True
AR00291,Shot Kurkuma Orange 60ml,KALTGETRANKE,SUP005,2.2,1.1462,19.0,EUR,False,True,0,B,6,2,True
AR00278,Gaudenz Cuvée Rot Weingut Knipser,SCHAUMWEIN,SUP007,11.9,6.6,19.0,EUR,False,True,0,A,6,2,True
AR00214,Kitkat Chunky 40g Nestlé,SUSSE_RIEGEL,SUP002,1.0,0.5395,7.5,EUR,False,True,0,C,6,2,True
AR00165,GO FRESH Wrap Thunfisch,WRAPS,SUP007,3.8,2.2729,7.0,EUR,False,True,2,B,6,2,True
AR00144,Toothpaste Blenda Med,KORPERPFLEGE,SUP001,1.9,0.7677,18.8,EUR,False,True,0,B,6,2,True
AR00096,Leibniz Schokokeks VM,SUSSGEBACK,SUP010,3.95,2.0304,7.0,EUR,False,True,2,B,6,2,True
AR00090,BiFi Carazza,SNACKS,SUP010,1.3,0.7148,7.3,EUR,False,True,0,C,6,2,True
AR00008,Schinken Käse Croissant Snack,HERZHAFTE_BACKWAREN,SUP004,1.8,0.9244,7.1,EUR,False,True,1,B,6,2,True
AR00378,Mein Glück aus Mandeln,AUFSTRICH,SUP005,4.25,2.7035,6.9,EUR,False,True,0,B,6,2,True
AR00366,"Snack Nüsse, BBQ",CHIPS,SUP010,3.75,2.0678,7.0,EUR,False,True,0,B,6,2,True
AR00274,Smothie Froosh Blueberry 250ml,SMOOTHIE,SUP001,2.4,1.2515,18.9,EUR,False,True,12,B,6,2,True
AR00176,Pringles Hot & Spicy,CHIPS,SUP008,1.4,0.7727,6.9,EUR,False,True,0,C,6,2,True
AR00162,GO FRESH Sandw Salam Edam,SANDWICHES,SUP002,3.8,2.2729,7.0,EUR,False,True,2,B,6,2,True
AR00135,GO FRESH Pastasalad Chicken,SALATE,SUP009,3.5,2.0915,7.1,EUR,False,True,2,B,6,2,True
AR00106,Rexona Deo Cotton Dry,KORPERPFLEGE,SUP004,3.9,1.5744,18.9,EUR,False,True,0,B,6,2,True
AR00074,Mikrowe Pommes extra dünn,TIEFKUHLKOST,SUP007,2.0,1.1215,7.0,EUR,False,True,0,B,6,2,True
AR00022,Graci Müsli High Power,CEREALIEN,SUP010,3.9,2.4785,7.0,EUR,False,True,0,B,6,2,True
AR90007,"Hochwald Eisschoko 0,25l Dose",MILCHMISCHGETRANKE,SUP006,1.4,0.812,6.9,EUR,False,True,14,C,6,2,True
AR00434,Steiner´s High Protein Spätzle,TEIGWAREN___REIS,SUP007,3.89,2.4721,7.0,EUR,False,True,0,B,6,2,True
AR00365,Snack Nüsse Honig & Salz,CHIPS,SUP004,3.75,2.0658,7.1,EUR,False,True,0,B,6,2,True
AR00364,Snack Nüsse Chilli,CHIPS,SUP005,3.75,2.0658,7.1,EUR,False,True,0,B,6,2,True
AR00327,Mahi Sauce Carolina Reaper & Pineapple,FEINKOST,SUP002,3.95,2.4364,7.0,EUR,False,True,5,B,6,2,True
AR00281,Erbsenprotein Milchersatz Barista 1l Vly,KALTGETRANKE,SUP006,3.25,1.6933,19.0,EUR,False,True,0,B,6,2,True
AR00277,Mionetto Treviso Prosecco Frizzante,SCHAUMWEIN,SUP004,7.9,4.3815,19.0,EUR,False,True,0,A,6,2,True
AR00212,Mars Protein 50g,PROTEIN_RIEGEL,SUP002,3.2,1.6449,7.0,EUR,False,True,0,B,6,2,True
AR00177,Pringles SourCream & Onion,CHIPS,SUP007,1.4,0.7727,6.9,EUR,False,True,0,C,6,2,True
AR00108,M Cooky Gloria Gebäckmisc,SUSSGEBACK,SUP001,3.0,1.5421,7.0,EUR,False,True,2,B,6,2,True
AR00107,Gilette Disposable razor,DROGERIEARTIKEL,SUP003,3.7,1.4924,19.0,EUR,False,True,0,B,6,2,True
AR00087,Parking disc,FREIZEITARTIKEL,SUP002,1.5,0.605,19.0,EUR,False,True,0,C,6,2,True
AR00069,BF ICE CREAM Weiße Schokolade & Waldbeer,IMPULSEIS,SUP008,2.5,1.4045,6.8,EUR,False,True,0,B,6,2,True
AR00066,BLACK FOREST ICE CREAM Schwarzw. Kirsch,IMPULSEIS,SUP010,2.5,1.4019,7.0,EUR,False,True,0,B,6,2,True
AR00063,Tempo Klassik Taschentücher,DROGERIEARTIKEL,SUP007,3.2,1.2897,19.1,EUR,False,True,0,B,6,2,True
AR00023,Currywurst Snack,HERZHAFTE_BACKWAREN,SUP002,1.8,0.9244,7.1,EUR,False,True,1,C,6,2,True
AR00021,Graci Müsli light,CEREALIEN,SUP002,3.9,2.4762,7.1,EUR,False,True,0,B,6,2,True
AR00438,Takis Blue Heat,CHIPS,SUP010,2.35,1.2958,7.0,EUR,False,True,0,C,6,2,True
AR00433,Steiner´s High Protein Fussili,TEIGWAREN___REIS,SUP002,3.89,2.4721,7.0,EUR,False,True,0,B,6,2,True
AR00417,LARQ TWIST BOTTLE  Obsidian Black 740ml,FREIZEITARTIKEL,SUP002,44.0,19.7383,7.0,EUR,False,True,0,A,6,2,True
AR00383,Dr. Kargs Tomate Mozzarella  Knäcke,BROT,SUP007,3.25,1.6721,6.9,EUR,False,True,3,B,6,2,True
AR00381,La Monegaque Sardinen mit Zitrone,FISCHPRODUKTE,SUP002,3.75,2.3854,6.9,EUR,False,True,7,B,6,2,True
AR00312,Bellezini Focaccine Rosemary,FEINKOST,SUP008,2.5,1.5449,6.8,EUR,False,True,5,C,6,2,True
AR00290,Carrot and sea buckthorn shot 60ml,KALTGETRANKE,SUP007,2.2,1.1453,19.1,EUR,False,True,0,C,6,2,True
AR00279,Bone dry Spätburgunder Rosé,SCHAUMWEIN,SUP007,11.9,6.6,19.0,EUR,False,True,0,A,6,2,True
AR00198,Tempo fresh to go Protect,DESINFEKTION,SUP005,2.0,0.8067,19.0,EUR,False,True,0,C,6,2,True
AR00191,Mexicana Stange,HERZHAFTE_BACKWAREN,SUP007,1.8,0.9244,7.1,EUR,False,True,1,C,6,2,True
