ID,store_ID,scenario,title,narrative,severity,impactValue,confidence,detectedOn,sourceEntity,sourceId,recommendedAction,criticality,currency_code,state
IN-000014,MUC01,REPLENISHMENT,Gaudenz Cuvée Rot Weingut Knipser runs out in 61.4h,"S.Mart Munich Werksviertel: 1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 61.4h against a reorder point of 9 units. Order 7 units.",LOW,20.81,0.925,2026-07-03,ReplenishmentTasks,RP-000001,Raise a 7-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000015,WDF02,CHECKOUT_INTEGRITY,stock variance on Smothie Froosh  Strawberry 250ml,"S.Mart Walldorf WDF03: Counted stock runs 54.1% below book stock across 21 daily counts. Smothie Froosh  Strawberry 250ml is not RFID tagged but is being presented at an autonomous gate (5 cancellations, 8 units). Cancellation rate 80.0% against a network baseline of 60.9% for this article (5 events, 8 units).",CRITICAL,19.2,0.913,2026-06-16,ShrinkAlerts,SA-000006,Schedule a cycle count and check the shelf for concealed removals.,1,EUR,OPEN
IN-000016,STR01,CHECKOUT_INTEGRITY,rfid misread on HOMEMADE Breakfastcup 285g,"S.Mart St. Leon-Rot: Cancellation rate 15.4% against a network baseline of 4.5% for this article (3 events, 6 units). Counted stock runs 8.2% below book stock across 21 daily counts.",CRITICAL,18.6,0.912,2026-06-02,ShrinkAlerts,SA-000007,Re-tag the facing and run an RFID read test at the gate antenna.,1,EUR,OPEN
IN-000017,MUC01,CHECKOUT_INTEGRITY,stock variance on FUZE T PFIRSICH,"S.Mart Munich Werksviertel: Counted stock runs 44.7% below book stock across 21 daily counts. FUZE T PFIRSICH is not RFID tagged but is being presented at an autonomous gate (4 cancellations, 11 units). Cancellation rate 50.0% against a network baseline of 35.3% for this article (4 events, 11 units).",CRITICAL,18.7,0.907,2026-06-19,ShrinkAlerts,SA-000011,Schedule a cycle count and check the shelf for concealed removals.,1,EUR,OPEN
IN-000018,WDF02,CHECKOUT_INTEGRITY,rfid misread on BLACK FOREST ICE CREAM Schokolade 100ml,"S.Mart Walldorf WDF03: Cancellation rate 50.0% against a network baseline of 13.9% for this article (3 events, 7 units). Counted stock runs 13.1% below book stock across 21 daily counts.",CRITICAL,17.5,0.911,2026-05-05,ShrinkAlerts,SA-000008,Re-tag the facing and run an RFID read test at the gate antenna.,1,EUR,OPEN
IN-000019,STR01,CHECKOUT_INTEGRITY,rfid misread on Filly Nut Donut,"S.Mart St. Leon-Rot: Cancellation rate 52.4% against a network baseline of 16.0% for this article (4 events, 11 units).",CRITICAL,16.5,0.91,2026-06-26,ShrinkAlerts,SA-000009,Re-tag the facing and run an RFID read test at the gate antenna.,1,EUR,OPEN
IN-000020,WDF01,CHECKOUT_INTEGRITY,stock variance on M&M Peanut,"S.Mart Walldorf Campus: Counted stock runs 49.3% below book stock across 21 daily counts. M&M Peanut is not RFID tagged but is being presented at an autonomous gate (11 cancellations, 15 units). Cancellation rate 33.3% against a network baseline of 21.9% for this article (11 events, 15 units).",CRITICAL,15,0.908,2026-06-26,ShrinkAlerts,SA-000010,Schedule a cycle count and check the shelf for concealed removals.,1,EUR,OPEN
IN-000021,BLN01,CHECKOUT_INTEGRITY,stock variance on FUZE T PFIRSICH,S.Mart Berlin Rosenthaler: Counted stock runs 51.5% below book stock across 21 daily counts.,CRITICAL,13.6,0.906,2026-05-26,ShrinkAlerts,SA-000012,Schedule a cycle count and check the shelf for concealed removals.,1,EUR,OPEN
IN-000022,HAM01,CHECKOUT_INTEGRITY,stock variance on FUZE T PFIRSICH,"S.Mart Hamburg Hafencity: Counted stock runs 61.7% below book stock across 21 daily counts. FUZE T PFIRSICH is not RFID tagged but is being presented at an autonomous gate (4 cancellations, 8 units).",CRITICAL,13.6,0.906,2026-06-18,ShrinkAlerts,SA-000013,Schedule a cycle count and check the shelf for concealed removals.,1,EUR,OPEN
IN-000023,WDF01,REPLENISHMENT,YFood Trink Vanilla runs out in 2.6h,"S.Mart Walldorf Campus: 1.18 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 2.6h against a reorder point of 10.2 units. Order 10 units.",CRITICAL,12.43,0.95,2026-07-03,ReplenishmentTasks,RP-000002,Raise a 10-unit order for delivery before cover runs out.,1,EUR,OPEN
IN-000024,WDF02,CHECKOUT_INTEGRITY,basket abandoned on Laugenbrezel mit Pfeffer,"S.Mart Walldorf WDF03: Cancellation rate 77.8% against a network baseline of 23.5% for this article (3 events, 7 units).",CRITICAL,12.6,0.904,2026-04-16,ShrinkAlerts,SA-000014,Review basket abandonment at this terminal with the shift lead.,1,EUR,OPEN
IN-000025,WDF02,CHECKOUT_INTEGRITY,rfid misread on HOMEMADE BUN Veggie Laugenecke Tom Moz,"S.Mart Walldorf WDF03: Cancellation rate 62.5% against a network baseline of 11.9% for this article (3 events, 5 units). Counted stock runs 31.8% below book stock across 21 daily counts. HOMEMADE BUN Veggie Laugenecke Tom Moz is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 5 units).",CRITICAL,12.5,0.904,2026-05-11,ShrinkAlerts,SA-000015,Re-tag the facing and run an RFID read test at the gate antenna.,1,EUR,OPEN
IN-000026,WDF01,CHECKOUT_INTEGRITY,"tag absent on Leergut 0,15 EUR","S.Mart Walldorf Campus: Leergut 0,15 EUR is not RFID tagged but is being presented at an autonomous gate (79 cancellations, 78.98799999999996 units). Cancellation rate 17.1% against a network baseline of 6.9% for this article (79 events, 78.98799999999996 units). Counted stock runs 21.9% below book stock across 21 daily counts.",CRITICAL,11.96,0.903,2026-06-24,ShrinkAlerts,SA-000016,Add the article to the RFID tagging list or block it from the autonomous assortment.,1,EUR,OPEN
IN-000027,WDF02,CHECKOUT_INTEGRITY,basket abandoned on HOMEMADE BUN Cheese,"S.Mart Walldorf WDF03: Cancellation rate 50.0% against a network baseline of 14.1% for this article (3 events, 6 units). Counted stock runs 9.1% below book stock across 21 daily counts.",CRITICAL,11.4,0.902,2026-06-11,ShrinkAlerts,SA-000017,Review basket abandonment at this terminal with the shift lead.,1,EUR,OPEN
IN-000028,HAM01,COLD_CHAIN,Freezer cabinet - HAM01 at -9.7C,S.Mart Hamburg Hafencity: unit held -9.7C against a target of -18C +/-3C for 60 minutes. Stock exposed is worth EUR 9.15.,CRITICAL,9.15,0.92,2026-07-02,ColdChainAlerts,CC-00016,Move stock to a working cabinet and raise a service call - the unit is far outside band.,1,EUR,OPEN
IN-000029,WDF02,CHECKOUT_INTEGRITY,basket abandoned on Protein Bar Vanilla Stracci,"S.Mart Walldorf WDF03: Cancellation rate 52.9% against a network baseline of 13.5% for this article (3 events, 9 units). Counted stock runs 8.7% below book stock across 21 daily counts.",CRITICAL,9,0.898,2026-06-01,ShrinkAlerts,SA-000019,Review basket abandonment at this terminal with the shift lead.,1,EUR,OPEN
IN-000030,BLN01,WASTE_MARKDOWN,Mark HOMEMADE Breakfastcup 285g down 50%,S.Mart Berlin Rosenthaler: 5 units on hand against 1 expected to sell in the 42h left. A 50% markdown lifts expected sales to 5 units and recovers EUR 7.19 instead of writing off 4.4 units.,HIGH,11.92,0.647,2026-07-03,MarkdownRecommendations,MD-000001,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000031,WDF01,WASTE_MARKDOWN,Mark HOMEMADE Breakfastcup 285g down 50%,S.Mart Walldorf Campus: 5 units on hand against 1 expected to sell in the 57h left. A 50% markdown lifts expected sales to 4.9 units and recovers EUR 7.1 instead of writing off 4.4 units.,HIGH,11.77,0.646,2026-07-03,MarkdownRecommendations,MD-000002,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000032,BLN01,REPLENISHMENT,YFood Trink Vanilla runs out in 32.7h,"S.Mart Berlin Rosenthaler: 1.08 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 32.7h against a reorder point of 8.9 units. Order 6 units.",LOW,7.78,0.95,2026-07-03,ReplenishmentTasks,RP-000003,Raise a 6-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000033,BLN01,REPLENISHMENT,Red Band Briket Sup. Sauer 200St. Dose runs out in 94.3h,"S.Mart Berlin Rosenthaler: 1.1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 94.3h against a reorder point of 11.6 units. Order 5 units.",LOW,7.56,0.949,2026-07-03,ReplenishmentTasks,RP-000004,Raise a 5-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000034,WDF01,REPLENISHMENT,BLACK FOREST ICE CREAM Vanille 100ml Bio runs out in 51.6h,"S.Mart Walldorf Campus: 1.55 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 51.6h against a reorder point of 14.7 units. Order 12 units.",LOW,7.02,0.95,2026-07-03,ReplenishmentTasks,RP-000005,Raise a 12-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000035,WDF02,CHECKOUT_INTEGRITY,stock variance on Smothie Froosh  Strawberry 250ml,S.Mart Walldorf WDF03: Counted stock runs 54.1% below book stock across 21 daily counts.,CRITICAL,7.2,0.894,2026-03-23,ShrinkAlerts,SA-000020,Schedule a cycle count and check the shelf for concealed removals.,1,EUR,OPEN
IN-000036,MUC01,REPLENISHMENT,Smothie Froosh Pineapple 250ml runs out in 12.5h,"S.Mart Munich Werksviertel: 1.16 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 12.5h against a reorder point of 12.5 units. Order 11 units.",MEDIUM,6.76,0.95,2026-07-03,ReplenishmentTasks,RP-000006,Raise a 11-unit order for delivery before cover runs out.,2,EUR,OPEN
IN-000037,MUC01,REPLENISHMENT,Barebells Caramel Choco 55g runs out in 100.4h,"S.Mart Munich Werksviertel: 1.2 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 100.4h against a reorder point of 13.2 units. Order 8 units.",LOW,6.63,0.95,2026-07-03,ReplenishmentTasks,RP-000007,Raise a 8-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000038,STR01,CHECKOUT_INTEGRITY,stock variance on M&M Peanut,"S.Mart St. Leon-Rot: Counted stock runs 48.1% below book stock across 21 daily counts. M&M Peanut is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 7 units). Cancellation rate 33.3% against a network baseline of 21.9% for this article (3 events, 7 units).",CRITICAL,7,0.893,2026-06-29,ShrinkAlerts,SA-000021,Schedule a cycle count and check the shelf for concealed removals.,1,EUR,OPEN
IN-000039,STR01,CHECKOUT_INTEGRITY,stock variance on FUZE T PFIRSICH,"S.Mart St. Leon-Rot: Counted stock runs 50.6% below book stock across 21 daily counts. FUZE T PFIRSICH is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 4 units).",CRITICAL,6.8,0.893,2026-04-23,ShrinkAlerts,SA-000022,Schedule a cycle count and check the shelf for concealed removals.,1,EUR,OPEN
IN-000040,STR01,CHECKOUT_INTEGRITY,stock variance on FUZE T PFIRSICH,S.Mart St. Leon-Rot: Counted stock runs 50.6% below book stock across 21 daily counts.,CRITICAL,6.8,0.893,2026-06-24,ShrinkAlerts,SA-000023,Schedule a cycle count and check the shelf for concealed removals.,1,EUR,OPEN
IN-000041,BLN01,REPLENISHMENT,Ritter Sport Edel Vollmilch 100g runs out in 20.5h,"S.Mart Berlin Rosenthaler: 1.2 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 20.5h against a reorder point of 13.1 units. Order 11 units.",LOW,6.25,0.95,2026-07-03,ReplenishmentTasks,RP-000008,Raise a 11-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000042,WDF01,REPLENISHMENT,Starbucks Caramel Macchiato runs out in 66.9h,"S.Mart Walldorf Campus: 1.3 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 66.9h against a reorder point of 12.3 units. Order 9 units.",LOW,5.73,0.949,2026-07-03,ReplenishmentTasks,RP-000011,Raise a 9-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000043,HAM01,REPLENISHMENT,Barebells Caramel Choco 55g runs out in 23.5h,"S.Mart Hamburg Hafencity: 1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 23.5h against a reorder point of 9 units. Order 5 units.",LOW,5.85,0.925,2026-07-03,ReplenishmentTasks,RP-000009,Raise a 5-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000044,WDF01,REPLENISHMENT,Red Band Briket Sup. Sauer 200St. Dose runs out in 138.1h,"S.Mart Walldorf Campus: 1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 138.1h against a reorder point of 9 units. Order 3 units.",LOW,5.78,0.925,2026-07-03,ReplenishmentTasks,RP-000010,Raise a 3-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000045,WDF01,CHECKOUT_INTEGRITY,stock variance on KitKat,"S.Mart Walldorf Campus: Counted stock runs 49.4% below book stock across 21 daily counts. KitKat is not RFID tagged but is being presented at an autonomous gate (6 cancellations, 6 units).",CRITICAL,6,0.891,2026-02-28,ShrinkAlerts,SA-000024,Schedule a cycle count and check the shelf for concealed removals.,1,EUR,OPEN
IN-000046,HAM01,CHECKOUT_INTEGRITY,stock variance on KitKat,"S.Mart Hamburg Hafencity: Counted stock runs 54.1% below book stock across 21 daily counts. KitKat is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units). Cancellation rate 24.0% against a network baseline of 23.9% for this article (3 events, 6 units).",CRITICAL,6,0.891,2026-05-22,ShrinkAlerts,SA-000025,Schedule a cycle count and check the shelf for concealed removals.,1,EUR,OPEN
IN-000047,MUC01,REPLENISHMENT,YFood Trink Vanilla runs out in 61h,"S.Mart Munich Werksviertel: 1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 61h against a reorder point of 7 units. Order 4 units.",LOW,5.72,0.925,2026-07-03,ReplenishmentTasks,RP-000012,Raise a 4-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000048,MUC01,REPLENISHMENT,Rexona Deo Men Cobalt Dry runs out in 83.2h,"S.Mart Munich Werksviertel: 1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 83.2h against a reorder point of 7 units. Order 4 units.",LOW,5.72,0.925,2026-07-03,ReplenishmentTasks,RP-000013,Raise a 4-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000049,HAM01,REPLENISHMENT,BIO Hafer Drink Moccaccino 12 x 235ml Oa runs out in 31.6h,"S.Mart Hamburg Hafencity: 1.1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 31.6h against a reorder point of 11.6 units. Order 10 units.",LOW,5.45,0.95,2026-07-03,ReplenishmentTasks,RP-000014,Raise a 10-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000050,STR01,REPLENISHMENT,Airwaves Menth & Eucalypt Box runs out in 23.6h,"S.Mart St. Leon-Rot: 1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 23.6h against a reorder point of 7 units. Order 6 units.",LOW,5.43,0.925,2026-07-03,ReplenishmentTasks,RP-000015,Raise a 6-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000051,BLN01,REPLENISHMENT,Rexona Deo Men Cobalt Dry runs out in 30.2h,"S.Mart Berlin Rosenthaler: 1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 30.2h against a reorder point of 7 units. Order 4 units.",LOW,5.22,0.925,2026-07-03,ReplenishmentTasks,RP-000016,Raise a 4-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000052,MUC01,WASTE_MARKDOWN,Mark HOMEMADE Breakfastcup 285g down 50%,S.Mart Munich Werksviertel: 6 units on hand against 0.6 expected to sell in the 57h left. A 50% markdown lifts expected sales to 3.2 units and recovers EUR 4.61 instead of writing off 5 units.,HIGH,7.64,0.629,2026-07-03,MarkdownRecommendations,MD-000003,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000053,WDF01,MERCHANDISING,"Welde Slow attaches to Leergut 0,08 EUR","S.Mart Walldorf Campus: the pair appears in 36 baskets at 8.29x lift and 30.8% confidence, but sits in different zones today.",MEDIUM,8.64,0.554,2026-07-03,BasketAffinities,AF-000003,"Add a secondary facing of Welde Slow beside Leergut 0,08 EUR (AMBIENT vs CHILLED zone).",2,EUR,OPEN
IN-000054,BLN01,REPLENISHMENT,Smothie Froosh Pineapple 250ml runs out in 60.9h,"S.Mart Berlin Rosenthaler: 1.19 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 60.9h against a reorder point of 13.3 units. Order 10 units.",LOW,4.94,0.95,2026-07-03,ReplenishmentTasks,RP-000017,Raise a 10-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000055,HAM01,WASTE_MARKDOWN,Mark HOMEMADE Breakfastcup 285g down 20%,S.Mart Hamburg Hafencity: 5 units on hand against 2.8 expected to sell in the 37h left. A 20% markdown lifts expected sales to 4.6 units and recovers EUR 10.7 instead of writing off 1.9 units.,MEDIUM,6.28,0.747,2026-07-03,MarkdownRecommendations,MD-000004,Apply a 20% markdown at the shelf label now.,2,EUR,OPEN
IN-000056,WDF01,REPLENISHMENT,Shot Ginger Apple 60ml runs out in 40.7h,"S.Mart Walldorf Campus: 1.21 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 40.7h against a reorder point of 10.9 units. Order 9 units.",LOW,4.51,0.95,2026-07-03,ReplenishmentTasks,RP-000018,Raise a 9-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000057,WDF01,MERCHANDISING,"Coca Cola Zero 0,4L Glas Mehrweg attaches to Leergut 0,15 EUR","S.Mart Walldorf Campus: the pair appears in 61 baskets at 3.42x lift and 23.9% confidence, but sits in different zones today.",MEDIUM,7.93,0.52,2026-07-03,BasketAffinities,AF-000007,"Add a secondary facing of Coca Cola Zero 0,4L Glas Mehrweg beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone).",2,EUR,OPEN
IN-000058,WDF02,REPLENISHMENT,Smothie Froosh Pineapple 250ml runs out in 17.3h,"S.Mart Walldorf WDF03: 1.11 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 17.3h against a reorder point of 11.8 units. Order 8 units.",LOW,4.32,0.95,2026-07-03,ReplenishmentTasks,RP-000019,Raise a 8-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000059,HAM01,REPLENISHMENT,La Nogger Choc runs out in 57.4h,"S.Mart Hamburg Hafencity: 1.1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 57.4h against a reorder point of 11.9 units. Order 8 units.",LOW,4.26,0.95,2026-07-03,ReplenishmentTasks,RP-000020,Raise a 8-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000060,BLN01,REPLENISHMENT,M&M Peanut runs out in 0h,"S.Mart Berlin Rosenthaler: 1.15 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 0h against a reorder point of 12.3 units. Order 13 units.",CRITICAL,3.94,0.95,2026-07-03,ReplenishmentTasks,RP-000022,Raise a 13-unit order for delivery before cover runs out.,1,EUR,OPEN
IN-000061,BLN01,REPLENISHMENT,"Yayla Ayran Tetra 0,25L runs out in 1.6h","S.Mart Berlin Rosenthaler: 1.14 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 1.6h against a reorder point of 12.3 units. Order 13 units.",CRITICAL,3.91,0.95,2026-07-03,ReplenishmentTasks,RP-000023,Raise a 13-unit order for delivery before cover runs out.,1,EUR,OPEN
IN-000062,WDF01,REPLENISHMENT,Airwaves Menth & Eucalypt Box runs out in 55h,"S.Mart Walldorf Campus: 1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 55h against a reorder point of 7 units. Order 4 units.",LOW,4.01,0.925,2026-07-03,ReplenishmentTasks,RP-000021,Raise a 4-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000063,WDF01,REPLENISHMENT,Bio poppy & vanilla fairness 45g runs out in 39.9h,"S.Mart Walldorf Campus: 1.22 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 39.9h against a reorder point of 13.3 units. Order 11 units.",LOW,3.75,0.95,2026-07-03,ReplenishmentTasks,RP-000025,Raise a 11-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000064,HAM01,REPLENISHMENT,Airwaves Menth & Eucalypt Box runs out in 37.7h,"S.Mart Hamburg Hafencity: 1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 37.7h against a reorder point of 7 units. Order 4 units.",LOW,3.77,0.925,2026-07-03,ReplenishmentTasks,RP-000024,Raise a 4-unit order for delivery before cover runs out.,3,EUR,OPEN
IN-000065,STR01,WASTE_MARKDOWN,Mark HOMEMADE Breakfastcup 285g down 50%,S.Mart St. Leon-Rot: 5 units on hand against 0.4 expected to sell in the 57h left. A 50% markdown lifts expected sales to 2.1 units and recovers EUR 3.04 instead of writing off 4.9 units.,HIGH,5.04,0.62,2026-07-03,MarkdownRecommendations,MD-000005,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000066,HAM01,WASTE_MARKDOWN,Mark GO FRESH Sandw Käse down 50%,S.Mart Hamburg Hafencity: 5 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.7 units and recovers EUR 3 instead of writing off 5.1 units.,HIGH,4.95,0.616,2026-07-03,MarkdownRecommendations,MD-000006,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000067,HAM01,WASTE_MARKDOWN,Mark GO FRESH Sandw Pute Ei down 50%,S.Mart Hamburg Hafencity: 6 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.6 units and recovers EUR 2.93 instead of writing off 5.5 units.,HIGH,4.83,0.614,2026-07-03,MarkdownRecommendations,MD-000007,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000068,HAM01,WASTE_MARKDOWN,Mark GO FRESH Wrap Tomat Mozza down 50%,S.Mart Hamburg Hafencity: 5 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.5 units and recovers EUR 2.65 instead of writing off 4.9 units.,HIGH,4.37,0.615,2026-07-03,MarkdownRecommendations,MD-000008,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000069,HAM01,WASTE_MARKDOWN,Mark Nissin Cup Noodles Chicke down 50%,S.Mart Hamburg Hafencity: 6 units on hand against 0.4 expected to sell in the 52h left. A 50% markdown lifts expected sales to 2.1 units and recovers EUR 2.59 instead of writing off 5.3 units.,HIGH,4.32,0.619,2026-07-03,MarkdownRecommendations,MD-000009,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
