ID,store_ID,posSystem_ID,article_ID,detectedOn,pattern,severity,criticality,state,anomalyScore,cancellationRate,baselineRate,valueAtRisk,currency_code,evidence,recommendedAction
SA-000024,WDF01,PF02,AR00003,2026-02-28,STOCK_VARIANCE,CRITICAL,1,OPEN,85.14,0.2308,0.2393,6,EUR,"Counted stock runs 49.4% below book stock across 21 daily counts. KitKat is not RFID tagged but is being presented at an autonomous gate (6 cancellations, 6 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000025,HAM01,PF-HAM01,AR00003,2026-05-22,STOCK_VARIANCE,CRITICAL,1,OPEN,85.14,0.24,0.2393,6,EUR,"Counted stock runs 54.1% below book stock across 21 daily counts. KitKat is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units). Cancellation rate 24.0% against a network baseline of 23.9% for this article (3 events, 6 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000026,HAM01,PF-HAM01,AR00054,2026-05-15,STOCK_VARIANCE,CRITICAL,1,OPEN,85.14,0.1277,0.2188,6,EUR,"Counted stock runs 50.7% below book stock across 21 daily counts. M&M Peanut is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000027,WDF01,PF02,SM0015,2026-06-10,PRICE_ERROR,CRITICAL,1,OPEN,84.79,1,1,5.55,EUR,Cancelled value implies EUR 0.92 per unit but the master price is EUR 3.95 (factor 0.23).,Reconcile the article master price with the electronic shelf label.
SA-000028,WDF01,PF02,AR90002,2026-06-23,TAG_ABSENT,CRITICAL,1,OPEN,84.34,0.2305,0.102,5,EUR,"Leergut 0,08 EUR is not RFID tagged but is being presented at an autonomous gate (62 cancellations, 62.00000000000002 units). Counted stock runs 45.6% below book stock across 21 daily counts. Cancellation rate 23.0% against a network baseline of 10.2% for this article (62 events, 62.00000000000002 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000029,MUC01,PF-MUC01,AR00054,2026-04-16,STOCK_VARIANCE,CRITICAL,1,OPEN,84.34,0.2,0.2188,5,EUR,"Counted stock runs 49.5% below book stock across 21 daily counts. M&M Peanut is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 5 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000030,WDF02,PF-WDF02,AR00188,2026-04-14,RFID_MISREAD,CRITICAL,1,OPEN,82.29,0.4118,0.1357,12.6,EUR,"Cancellation rate 41.2% against a network baseline of 13.6% for this article (3 events, 7 units). Counted stock runs 6.0% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000031,WDF01,PF02,AR00241,2026-06-28,RFID_MISREAD,CRITICAL,1,OPEN,81.87,0.299,0.1082,72.54,EUR,"Cancellation rate 29.9% against a network baseline of 10.8% for this article (28 events, 28.998000000000005 units). Counted stock runs 6.8% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000032,WDF01,PF02,AR90040,2026-06-10,STOCK_VARIANCE,CRITICAL,1,OPEN,79.52,0.2593,0.3534,11.9,EUR,"Counted stock runs 40.1% below book stock across 21 daily counts. FUZE T PFIRSICH is not RFID tagged but is being presented at an autonomous gate (7 cancellations, 7 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000033,MUC01,PF-MUC01,AR90002,2026-05-28,STOCK_VARIANCE,CRITICAL,1,OPEN,78.29,0.0902,0.102,0.88,EUR,"Counted stock runs 51.2% below book stock across 21 daily counts. Leergut 0,08 EUR is not RFID tagged but is being presented at an autonomous gate (5 cancellations, 11 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000034,WDF01,PF02,SM0017,2026-05-10,PRICE_ERROR,HIGH,1,OPEN,77.8,0.95,0.9048,93.81,EUR,"Cancelled value implies EUR 4.94 per unit but the master price is EUR 1.99 (factor 2.48). Cancellation rate 95.0% against a network baseline of 90.5% for this article (5 events, 19 units).",Reconcile the article master price with the electronic shelf label.
SA-000035,WDF01,SM01,AR90002,2026-05-04,STOCK_VARIANCE,HIGH,1,OPEN,77.32,0.0327,0.102,0.56,EUR,Counted stock runs 45.6% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000036,WDF01,PF02,AR00243,2026-03-28,RFID_MISREAD,HIGH,1,OPEN,76.99,0.2462,0.0909,40,EUR,"Cancellation rate 24.6% against a network baseline of 9.1% for this article (16 events, 16 units). Counted stock runs 10.0% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000037,STR01,PF-STR01,AR00330,2026-04-01,TAG_ABSENT,HIGH,1,OPEN,75.71,1,0.8788,175.5,EUR,"The Yeah Blend Pistatcha Latte Powder is not RFID tagged but is being presented at an autonomous gate (5 cancellations, 9 units). Cancellation rate 100.0% against a network baseline of 87.9% for this article (5 events, 9 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000038,MUC01,PF-MUC01,AR00330,2026-06-02,TAG_ABSENT,HIGH,1,OPEN,73.6,1,0.8788,156,EUR,"The Yeah Blend Pistatcha Latte Powder is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 8 units). Cancellation rate 100.0% against a network baseline of 87.9% for this article (3 events, 8 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000039,WDF02,PF-WDF02,AR00456,2026-06-30,TAG_ABSENT,HIGH,1,OPEN,72.23,1,0.7027,103.5,EUR,"Heitlinger Pinot Bois is not RFID tagged but is being presented at an autonomous gate (4 cancellations, 9 units). Cancellation rate 100.0% against a network baseline of 70.3% for this article (4 events, 9 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000040,WDF01,PF02,AR90018,2026-06-28,RFID_MISREAD,HIGH,1,OPEN,72.15,0.4503,0.1932,185.38,EUR,"Cancellation rate 45.0% against a network baseline of 19.3% for this article (95 events, 95.01499999999996 units). Counted stock runs 15.3% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000041,WDF02,PF-WDF02,AR90035,2026-03-31,RFID_MISREAD,HIGH,1,OPEN,72.04,0.6667,0.248,17,EUR,"Cancellation rate 66.7% against a network baseline of 24.8% for this article (4 events, 10 units). Counted stock runs 17.6% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000042,WDF02,PF-WDF02,AR00230,2026-04-24,TAG_ABSENT,HIGH,1,OPEN,71.4,1,0.7222,102,EUR,"Thermobecher 480ml Bambus & Edelstahl is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units). Cancellation rate 100.0% against a network baseline of 72.2% for this article (3 events, 6 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000043,WDF01,SM01,SM0015,2026-06-10,PRICE_ERROR,HIGH,1,OPEN,71.31,1,1,11.93,EUR,Cancelled value implies EUR 1.49 per unit but the master price is EUR 3.95 (factor 0.38).,Reconcile the article master price with the electronic shelf label.
SA-000044,HAM01,PF-HAM01,AR00456,2026-06-05,TAG_ABSENT,HIGH,1,OPEN,70.93,0.7,0.7027,80.5,EUR,"Heitlinger Pinot Bois is not RFID tagged but is being presented at an autonomous gate (4 cancellations, 7 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000045,HAM01,PF-HAM01,AR00070,2026-07-03,TAG_ABSENT,HIGH,1,OPEN,69.6,0.8333,0.8409,34.5,EUR,"Milka Alpenmilch is not RFID tagged but is being presented at an autonomous gate (8 cancellations, 15 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000046,MUC01,PF-MUC01,AR00456,2026-04-21,TAG_ABSENT,HIGH,1,OPEN,69.39,0.6667,0.7027,69,EUR,"Heitlinger Pinot Bois is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000047,STR01,PF-STR01,AR00137,2026-06-25,RFID_MISREAD,HIGH,1,OPEN,69.37,0.5,0.1968,27,EUR,"Cancellation rate 50.0% against a network baseline of 19.7% for this article (5 events, 10 units). Counted stock runs 18.5% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000048,WDF01,PF02,SM0016,2026-06-01,PRICE_ERROR,HIGH,1,OPEN,68.73,1,1,21.23,EUR,Cancelled value implies EUR 1.63 per unit but the master price is EUR 3.95 (factor 0.41).,Reconcile the article master price with the electronic shelf label.
SA-000049,WDF01,PF02,AR00230,2026-03-22,TAG_ABSENT,HIGH,1,OPEN,67.84,0.6,0.7222,51,EUR,"Thermobecher 480ml Bambus & Edelstahl is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 3 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000050,STR01,PF-STR01,AR00193,2026-07-02,RFID_MISREAD,HIGH,1,OPEN,67.63,0.4167,0.1611,14,EUR,"Cancellation rate 41.7% against a network baseline of 16.1% for this article (6 events, 10 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000051,WDF02,PF-WDF02,AR00359,2026-06-30,TAG_ABSENT,HIGH,1,OPEN,67.47,1,0.9355,47.4,EUR,"Geschnetzeltes vom D. Angus Rind im Glas is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units). Cancellation rate 100.0% against a network baseline of 93.5% for this article (3 events, 6 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000052,WDF01,PF02,AR00244,2026-04-23,TAG_ABSENT,HIGH,1,OPEN,66.87,0.1356,0.119,20,EUR,"HOMEMADE BUN Veggie Laugenecke Tom Moz is not RFID tagged but is being presented at an autonomous gate (8 cancellations, 8 units). Counted stock runs 30.2% below book stock across 21 daily counts. Cancellation rate 13.6% against a network baseline of 11.9% for this article (8 events, 8 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000053,WDF01,PF02,AR90034,2026-06-29,RFID_MISREAD,HIGH,1,OPEN,66.85,0.3125,0.1343,67.99,EUR,"Cancellation rate 31.3% against a network baseline of 13.4% for this article (40 events, 40.00099999999999 units). Counted stock runs 9.4% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000054,STR01,PF-STR01,AR00024,2026-02-20,RFID_MISREAD,HIGH,1,OPEN,66.72,0.4118,0.163,17.5,EUR,"Cancellation rate 41.2% against a network baseline of 16.3% for this article (3 events, 7 units). Counted stock runs 10.1% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000055,WDF02,PF-WDF02,AR00010,2026-04-10,RFID_MISREAD,HIGH,1,OPEN,65.83,0.3,0.1132,6,EUR,"Cancellation rate 30.0% against a network baseline of 11.3% for this article (3 events, 6 units). Counted stock runs 23.1% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000056,HAM01,PF-HAM01,AR00143,2026-06-22,TAG_ABSENT,HIGH,1,OPEN,65.81,1,0.9474,29.5,EUR,"Fairy Original Spülmittel is not RFID tagged but is being presented at an autonomous gate (4 cancellations, 10 units). Cancellation rate 100.0% against a network baseline of 94.7% for this article (4 events, 10 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000057,HAM01,PF-HAM01,AR00304,2026-07-01,TAG_ABSENT,HIGH,1,OPEN,65.76,0.6667,0.7097,33.9,EUR,"Graci Laboratories Muesli Fruits Big Tu is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000058,WDF02,SM-WDF02,AR00319,2026-07-01,BASKET_ABANDONED,HIGH,1,OPEN,65.58,0.5556,0.2102,6,EUR,"Cancellation rate 55.6% against a network baseline of 21.0% for this article (3 events, 5 units). Counted stock runs 14.9% below book stock across 21 daily counts.",Review basket abandonment at this terminal with the shift lead.
SA-000059,WDF02,PF-WDF02,AR00017,2026-03-31,TAG_ABSENT,HIGH,1,OPEN,64.65,1,0.7778,23.4,EUR,"Wheat Germ & Tomato Cuori 250g is not RFID tagged but is being presented at an autonomous gate (4 cancellations, 6 units). Cancellation rate 100.0% against a network baseline of 77.8% for this article (4 events, 6 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000060,MUC01,PF-MUC01,AR00288,2026-05-28,TAG_ABSENT,HIGH,1,OPEN,64.25,0.6923,0.6094,21.6,EUR,"Smothie Froosh  Strawberry 250ml is not RFID tagged but is being presented at an autonomous gate (4 cancellations, 9 units). Cancellation rate 69.2% against a network baseline of 60.9% for this article (4 events, 9 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000061,WDF02,PF-WDF02,AR00190,2026-07-02,RFID_MISREAD,HIGH,1,OPEN,63.99,0.5,0.2,12,EUR,"Cancellation rate 50.0% against a network baseline of 20.0% for this article (3 events, 8 units). Brown Donut is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 8 units). Counted stock runs 20.8% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000062,HAM01,PF-HAM01,AR00231,2026-06-26,TAG_ABSENT,HIGH,1,OPEN,63.96,0.6667,0.7879,23.7,EUR,"Deostick Sweet Summer is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000063,HAM01,PF-HAM01,AR00015,2026-05-11,TAG_ABSENT,HIGH,1,OPEN,63.82,0.5455,0.6471,19.8,EUR,"Markenbutter Alu is not RFID tagged but is being presented at an autonomous gate (4 cancellations, 6 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000064,WDF02,PF-WDF02,AR00318,2026-05-12,RFID_MISREAD,HIGH,1,OPEN,63.37,0.9167,0.3714,13.2,EUR,"Cancellation rate 91.7% against a network baseline of 37.1% for this article (4 events, 11 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000065,MUC01,PF-MUC01,AR00070,2026-06-24,TAG_ABSENT,HIGH,1,OPEN,63.29,1,0.8409,20.7,EUR,"Milka Alpenmilch is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 9 units). Cancellation rate 100.0% against a network baseline of 84.1% for this article (3 events, 9 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000066,WDF01,SM01,SM0016,2026-03-24,PRICE_ERROR,HIGH,1,OPEN,62.84,1,1,13.93,EUR,Cancelled value implies EUR 1.74 per unit but the master price is EUR 3.95 (factor 0.44).,Reconcile the article master price with the electronic shelf label.
SA-000067,MUC01,PF-MUC01,AR00143,2026-04-30,TAG_ABSENT,HIGH,1,OPEN,62.51,1,0.9474,17.7,EUR,"Fairy Original Spülmittel is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units). Cancellation rate 100.0% against a network baseline of 94.7% for this article (3 events, 6 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000068,WDF02,PF-WDF02,AR00082,2026-05-21,TAG_ABSENT,HIGH,1,OPEN,62.43,1,0.6585,17.4,EUR,"Nivea Creme is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units). Cancellation rate 100.0% against a network baseline of 65.9% for this article (3 events, 6 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000069,WDF02,PF-WDF02,AR00143,2026-03-27,TAG_ABSENT,HIGH,1,OPEN,62.37,1,0.9474,14.75,EUR,"Fairy Original Spülmittel is not RFID tagged but is being presented at an autonomous gate (4 cancellations, 5 units). Cancellation rate 100.0% against a network baseline of 94.7% for this article (4 events, 5 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000070,STR01,PF-STR01,AR00197,2026-05-29,TAG_ABSENT,HIGH,1,OPEN,62.08,0.9,0.9211,16.2,EUR,"Knäckebrot Urtyp 250g Burger is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 9 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000071,WDF02,PF-WDF02,AR00064,2026-04-17,RFID_MISREAD,HIGH,1,OPEN,61.72,0.8462,0.3661,27.5,EUR,"Cancellation rate 84.6% against a network baseline of 36.6% for this article (4 events, 11 units). Counted stock runs 15.3% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000072,WDF01,PF02,AR00240,2026-06-17,RFID_MISREAD,HIGH,1,OPEN,61.61,0.3111,0.1408,53.2,EUR,"Cancellation rate 31.1% against a network baseline of 14.1% for this article (26 events, 28 units). Counted stock runs 8.4% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000073,WDF02,PF-WDF02,AR00056,2026-06-12,RFID_MISREAD,HIGH,1,OPEN,61.37,0.9,0.3861,22.5,EUR,"Cancellation rate 90.0% against a network baseline of 38.6% for this article (5 events, 9 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000074,STR01,PF-STR01,AR90030,2026-07-01,RFID_MISREAD,HIGH,1,OPEN,60.95,0.7143,0.3016,16,EUR,"Cancellation rate 71.4% against a network baseline of 30.2% for this article (5 events, 10 units). Counted stock runs 13.6% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000075,MUC01,PF-MUC01,AR00197,2026-06-16,TAG_ABSENT,HIGH,1,OPEN,60.85,1,0.9211,12.6,EUR,"Knäckebrot Urtyp 250g Burger is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 7 units). Cancellation rate 100.0% against a network baseline of 92.1% for this article (3 events, 7 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000076,WDF02,PF-WDF02,AR00396,2026-03-06,RFID_MISREAD,HIGH,1,OPEN,60.84,0.4545,0.1879,11,EUR,"Cancellation rate 45.5% against a network baseline of 18.8% for this article (3 events, 5 units). Counted stock runs 16.2% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000077,HAM01,PF-HAM01,AR00244,2026-06-12,TAG_ABSENT,HIGH,1,OPEN,60.81,0.0455,0.119,12.5,EUR,"HOMEMADE BUN Veggie Laugenecke Tom Moz is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 5 units). Counted stock runs 28.4% below book stock across 21 daily counts.",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000078,HAM01,PF-HAM01,AR00288,2026-05-09,TAG_ABSENT,HIGH,1,OPEN,60.62,0.4545,0.6094,12,EUR,"Smothie Froosh  Strawberry 250ml is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 5 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000079,WDF02,PF-WDF02,AR00004,2026-06-23,RFID_MISREAD,HIGH,1,OPEN,60.59,0.8333,0.3309,5,EUR,"Cancellation rate 83.3% against a network baseline of 33.1% for this article (4 events, 10 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000080,STR01,PF-STR01,AR00143,2026-06-01,TAG_ABSENT,HIGH,1,OPEN,60.54,1,0.9474,11.8,EUR,"Fairy Original Spülmittel is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 4 units). Cancellation rate 100.0% against a network baseline of 94.7% for this article (3 events, 4 units).",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000081,WDF02,SM-WDF02,AR00121,2026-05-28,BASKET_ABANDONED,HIGH,1,OPEN,60.23,0.5714,0.2449,17.6,EUR,"Cancellation rate 57.1% against a network baseline of 24.5% for this article (3 events, 8 units). Counted stock runs 15.9% below book stock across 21 daily counts.",Review basket abandonment at this terminal with the shift lead.
SA-000082,WDF02,SM-WDF02,AR00157,2026-06-24,BASKET_ABANDONED,HIGH,1,OPEN,59.83,0.7,0.3097,26.6,EUR,"Cancellation rate 70.0% against a network baseline of 31.0% for this article (3 events, 7 units). Counted stock runs 9.1% below book stock across 21 daily counts.",Review basket abandonment at this terminal with the shift lead.
