ID,customer_ID,store_ID,article_ID,validFrom,validTo,propensity,offerDiscountPct,expectedRevenue,currency_code,channel,rationale,state
NBO-000651,CUST00371,HAM01,AR00289,2026-07-03,2026-07-17,0.73,19.8,1.29,EUR,APP_PUSH,"Shot Himbeere Ingwer 60ml sells with HOMEMADE Breakfastcup 285g at 14.68x lift, and that is one of this customer's regular buys.",OPEN
NBO-000595,CUST00338,HAM01,AR90034,2026-07-03,2026-07-17,0.7274,8,1.14,EUR,APP_PUSH,Buys Welde Slow about every 28.7 days and is 78 days on from the last one.,OPEN
NBO-000203,CUST00127,WDF01,AR90040,2026-07-03,2026-07-17,0.7255,19.8,0.99,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000204,CUST00127,WDF01,AR90030,2026-07-03,2026-07-17,0.7255,19.8,0.93,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000107,CUST00060,HAM01,AR90040,2026-07-03,2026-07-17,0.7244,18.2,1.01,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000108,CUST00060,HAM01,AR90030,2026-07-03,2026-07-17,0.7244,18.2,0.95,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000652,CUST00371,HAM01,AR90034,2026-07-03,2026-07-17,0.7229,19.8,0.99,EUR,APP_PUSH,"Welde Slow sells with Leergut 0,08 EUR at 8.29x lift, and that is one of this customer's regular buys.",OPEN
NBO-000653,CUST00371,HAM01,AR90036,2026-07-03,2026-07-17,0.7229,19.8,0.99,EUR,APP_PUSH,"Welde Alkoholfrei sells with Leergut 0,08 EUR at 7.14x lift, and that is one of this customer's regular buys.",OPEN
NBO-000205,CUST00127,WDF01,AR00289,2026-07-03,2026-07-17,0.7186,19.8,1.27,EUR,APP_PUSH,"Shot Himbeere Ingwer 60ml sells with HOMEMADE Breakfastcup 285g at 14.68x lift, and that is one of this customer's regular buys.",OPEN
NBO-000014,CUST00008,MUC01,AR90039,2026-07-03,2026-07-17,0.7178,16.6,0.9,EUR,APP_PUSH,"Coca Cola Zero 0,4L Glas Mehrweg sells with Leergut 0,15 EUR at 3.42x lift, and that is one of this customer's regular buys.",OPEN
NBO-000113,CUST00067,WDF01,AR90003,2026-07-03,2026-07-17,0.7173,9.6,0.1,EUR,APP_PUSH,"Buys Leergut 0,15 EUR about every 47 days and is 63 days on from the last one.",OPEN
NBO-000471,CUST00259,MUC01,AR90040,2026-07-03,2026-07-17,0.7142,16.6,1.01,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000472,CUST00259,MUC01,AR90030,2026-07-03,2026-07-17,0.7142,16.6,0.95,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000671,CUST00381,HAM01,AR90040,2026-07-03,2026-07-17,0.714,16.6,1.01,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000672,CUST00381,HAM01,AR90030,2026-07-03,2026-07-17,0.714,16.6,0.95,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000186,CUST00111,MUC01,AR90040,2026-07-03,2026-07-17,0.71,18.2,0.99,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000187,CUST00111,MUC01,AR90030,2026-07-03,2026-07-17,0.71,18.2,0.93,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000341,CUST00194,WDF01,AR90013,2026-07-03,2026-07-17,0.7089,8,1.11,EUR,APP_PUSH,"Buys Red Bull 0,25 about every 31.3 days and is 42 days on from the last one.",OPEN
NBO-000323,CUST00187,BLN01,AR90040,2026-07-03,2026-07-17,0.7088,15,1.02,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000324,CUST00187,BLN01,AR90030,2026-07-03,2026-07-17,0.7088,15,0.96,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000329,CUST00189,WDF01,AR00289,2026-07-03,2026-07-17,0.7067,18.2,1.27,EUR,APP_PUSH,"Shot Himbeere Ingwer 60ml sells with HOMEMADE Breakfastcup 285g at 14.68x lift, and that is one of this customer's regular buys.",OPEN
NBO-000330,CUST00189,WDF01,AR90035,2026-07-03,2026-07-17,0.7067,18.2,0.98,EUR,APP_PUSH,"Welde Naturradler sells with Leergut 0,08 EUR at 9.52x lift, and that is one of this customer's regular buys.",OPEN
NBO-000331,CUST00189,WDF01,AR90034,2026-07-03,2026-07-17,0.7067,18.2,0.98,EUR,APP_PUSH,"Welde Slow sells with Leergut 0,08 EUR at 8.29x lift, and that is one of this customer's regular buys.",OPEN
NBO-000467,CUST00258,WDF01,AR90040,2026-07-03,2026-07-17,0.7061,16.6,1,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000541,CUST00308,HAM01,AR90034,2026-07-03,2026-07-17,0.7061,16.6,1,EUR,APP_PUSH,"Welde Slow sells with Leergut 0,08 EUR at 8.29x lift, and that is one of this customer's regular buys.",OPEN
NBO-000059,CUST00032,HAM01,AR90035,2026-07-03,2026-07-17,0.705,16.6,1,EUR,APP_PUSH,"Welde Naturradler sells with Leergut 0,08 EUR at 9.52x lift, and that is one of this customer's regular buys.",OPEN
NBO-000060,CUST00032,HAM01,AR90034,2026-07-03,2026-07-17,0.705,16.6,1,EUR,APP_PUSH,"Welde Slow sells with Leergut 0,08 EUR at 8.29x lift, and that is one of this customer's regular buys.",OPEN
NBO-000061,CUST00032,HAM01,AR90040,2026-07-03,2026-07-17,0.705,16.6,1,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000716,CUST00405,BLN01,AR90040,2026-07-03,2026-07-17,0.7046,16.6,1,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000717,CUST00405,BLN01,AR90030,2026-07-03,2026-07-17,0.7046,16.6,0.94,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000448,CUST00250,MUC01,AR90040,2026-07-03,2026-07-17,0.7038,18.2,0.98,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000449,CUST00250,MUC01,AR90030,2026-07-03,2026-07-17,0.7038,18.2,0.92,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000450,CUST00250,MUC01,AR90039,2026-07-03,2026-07-17,0.7038,18.2,0.86,EUR,APP_PUSH,"Coca Cola Zero 0,4L Glas Mehrweg sells with Leergut 0,15 EUR at 3.42x lift, and that is one of this customer's regular buys.",OPEN
NBO-000459,CUST00255,HAM01,AR90040,2026-07-03,2026-07-17,0.7029,16.6,1,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000460,CUST00255,HAM01,AR90030,2026-07-03,2026-07-17,0.7029,16.6,0.94,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000461,CUST00255,HAM01,AR90039,2026-07-03,2026-07-17,0.7029,16.6,0.88,EUR,APP_PUSH,"Coca Cola Zero 0,4L Glas Mehrweg sells with Leergut 0,15 EUR at 3.42x lift, and that is one of this customer's regular buys.",OPEN
NBO-000604,CUST00343,HAM01,AR00136,2026-07-03,2026-07-17,0.7024,11.2,1.68,EUR,APP_PUSH,Buys La Magnum Almond about every 45.5 days and is 71 days on from the last one.,OPEN
NBO-000599,CUST00341,WDF01,AR90040,2026-07-03,2026-07-17,0.7019,16.6,1,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000600,CUST00341,WDF01,AR90030,2026-07-03,2026-07-17,0.7019,16.6,0.94,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000401,CUST00226,WDF01,AR90040,2026-07-03,2026-07-17,0.6968,16.6,0.99,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000402,CUST00226,WDF01,AR90030,2026-07-03,2026-07-17,0.6968,16.6,0.93,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000403,CUST00226,WDF01,AR90039,2026-07-03,2026-07-17,0.6968,16.6,0.87,EUR,APP_PUSH,"Coca Cola Zero 0,4L Glas Mehrweg sells with Leergut 0,15 EUR at 3.42x lift, and that is one of this customer's regular buys.",OPEN
NBO-000497,CUST00275,HAM01,AR90040,2026-07-03,2026-07-17,0.6958,16.6,0.99,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000498,CUST00275,HAM01,AR90030,2026-07-03,2026-07-17,0.6958,16.6,0.93,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000072,CUST00043,BLN01,AR90035,2026-07-03,2026-07-17,0.6955,15,1,EUR,APP_PUSH,"Welde Naturradler sells with Leergut 0,08 EUR at 9.52x lift, and that is one of this customer's regular buys.",OPEN
NBO-000073,CUST00043,BLN01,AR90034,2026-07-03,2026-07-17,0.6955,15,1,EUR,APP_PUSH,"Welde Slow sells with Leergut 0,08 EUR at 8.29x lift, and that is one of this customer's regular buys.",OPEN
NBO-000178,CUST00108,WDF01,AR90030,2026-07-03,2026-07-17,0.6941,19.8,0.89,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000179,CUST00108,WDF01,AR90039,2026-07-03,2026-07-17,0.6941,19.8,0.83,EUR,APP_PUSH,"Coca Cola Zero 0,4L Glas Mehrweg sells with Leergut 0,15 EUR at 3.42x lift, and that is one of this customer's regular buys.",OPEN
NBO-000026,CUST00013,WDF01,AR90035,2026-07-03,2026-07-17,0.6938,16.6,0.98,EUR,APP_PUSH,"Welde Naturradler sells with Leergut 0,08 EUR at 9.52x lift, and that is one of this customer's regular buys.",OPEN
NBO-000258,CUST00153,BLN01,AR90040,2026-07-03,2026-07-17,0.692,18.2,0.96,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000259,CUST00153,BLN01,AR90030,2026-07-03,2026-07-17,0.692,18.2,0.91,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000260,CUST00153,BLN01,AR90039,2026-07-03,2026-07-17,0.692,18.2,0.85,EUR,APP_PUSH,"Coca Cola Zero 0,4L Glas Mehrweg sells with Leergut 0,15 EUR at 3.42x lift, and that is one of this customer's regular buys.",OPEN
NBO-000279,CUST00167,HAM01,AR90040,2026-07-03,2026-07-17,0.6911,16.6,0.98,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000280,CUST00167,HAM01,AR90030,2026-07-03,2026-07-17,0.6911,16.6,0.92,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000122,CUST00071,MUC01,AR90040,2026-07-03,2026-07-17,0.691,18.2,0.96,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000123,CUST00071,MUC01,AR90030,2026-07-03,2026-07-17,0.691,18.2,0.9,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000620,CUST00353,MUC01,AR90015,2026-07-03,2026-07-17,0.691,11.2,1.04,EUR,APP_PUSH,Buys Red Bull Zero about every 50.5 days and is 63 days on from the last one.,OPEN
NBO-000238,CUST00144,BLN01,AR90040,2026-07-03,2026-07-17,0.6904,16.6,0.98,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000239,CUST00144,BLN01,AR90039,2026-07-03,2026-07-17,0.6904,16.6,0.86,EUR,APP_PUSH,"Coca Cola Zero 0,4L Glas Mehrweg sells with Leergut 0,15 EUR at 3.42x lift, and that is one of this customer's regular buys.",OPEN
NBO-000141,CUST00083,BLN01,AR90030,2026-07-03,2026-07-17,0.6888,19.8,0.88,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000693,CUST00391,HAM01,AR90040,2026-07-03,2026-07-17,0.6885,16.6,0.98,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000364,CUST00203,WDF02,AR90035,2026-07-03,2026-07-17,0.6869,16.6,0.97,EUR,APP_PUSH,"Welde Naturradler sells with Leergut 0,08 EUR at 9.52x lift, and that is one of this customer's regular buys.",OPEN
NBO-000365,CUST00203,WDF02,AR90034,2026-07-03,2026-07-17,0.6869,16.6,0.97,EUR,APP_PUSH,"Welde Slow sells with Leergut 0,08 EUR at 8.29x lift, and that is one of this customer's regular buys.",OPEN
