ID,store_ID,article_ID,supplier_ID,dueOn,onHand,reorderPoint,recommendedQty,coverageHours,urgency,criticality,state,stockoutRisk,lostSalesValue,currency_code,reasoning
RP-000016,BLN01,AR00151,SUP008,2026-07-03,1.778,7,4,30.23,LOW,3,OPEN,0.95,5.22,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 30.2h against a reorder point of 7 units."
RP-000017,BLN01,AR00276,SUP007,2026-07-03,4.253,13.263,10,60.89,LOW,3,OPEN,1,4.94,EUR,"1.19 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 60.9h against a reorder point of 13.3 units."
RP-000018,WDF01,AR00294,SUP008,2026-07-03,2.047,10.871,9,40.66,LOW,3,OPEN,1,4.51,EUR,"1.21 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 40.7h against a reorder point of 10.9 units."
RP-000019,WDF02,AR00276,SUP007,2026-07-03,1.371,11.823,8,17.27,LOW,3,OPEN,1,4.32,EUR,"1.11 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 17.3h against a reorder point of 11.8 units."
RP-000020,HAM01,AR00084,SUP007,2026-07-03,4.208,11.892,8,57.38,LOW,3,OPEN,1,4.26,EUR,"1.1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 57.4h against a reorder point of 11.9 units."
RP-000021,WDF01,AR00454,SUP008,2026-07-03,2.291,7,4,54.98,LOW,3,OPEN,0.95,4.01,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 55h against a reorder point of 7 units."
RP-000022,BLN01,AR00054,SUP007,2026-07-03,0,12.29,13,0,CRITICAL,1,OPEN,1,3.94,EUR,"1.15 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 0h against a reorder point of 12.3 units."
RP-000023,BLN01,AR00286,SUP007,2026-07-03,0.107,12.272,13,1.59,CRITICAL,1,OPEN,1,3.91,EUR,"1.14 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 1.6h against a reorder point of 12.3 units."
RP-000024,HAM01,AR00454,SUP008,2026-07-03,2.516,7,4,37.74,LOW,3,OPEN,0.95,3.77,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 37.7h against a reorder point of 7 units."
RP-000025,WDF01,AR00402,SUP007,2026-07-03,2.03,13.34,11,39.86,LOW,3,OPEN,1,3.75,EUR,"1.22 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 39.9h against a reorder point of 13.3 units."
RP-000026,MUC01,AR00333,SUP007,2026-07-03,3.521,9,6,84.5,LOW,3,OPEN,0.95,3.74,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 84.5h against a reorder point of 9 units."
RP-000027,WDF01,AR00010,SUP007,2026-07-03,3.895,18.4,14,63.96,LOW,3,OPEN,0.9979,3.46,EUR,"1.46 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 64h against a reorder point of 18.4 units."
RP-000028,BLN01,AR00283,SUP008,2026-07-03,2.537,7,4,43.13,LOW,3,OPEN,0.95,3.45,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 43.1h against a reorder point of 7 units."
RP-000029,WDF01,AR00276,SUP007,2026-07-03,4.043,12.738,7,84.9,LOW,3,OPEN,0.9992,3.25,EUR,"1.14 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 84.9h against a reorder point of 12.7 units."
RP-000030,HAM01,AR00294,SUP008,2026-07-03,0.836,8.573,6,11.82,MEDIUM,2,OPEN,1,3.23,EUR,"1.06 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 11.8h against a reorder point of 8.6 units."
RP-000031,STR01,AR00294,SUP008,2026-07-03,1.33,9.358,7,28.73,LOW,3,OPEN,1,3.13,EUR,"1.11 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 28.7h against a reorder point of 9.4 units."
RP-000032,WDF01,AR00054,SUP007,2026-07-03,1.227,12.923,11,25.52,LOW,3,OPEN,1,3.11,EUR,"1.15 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 25.5h against a reorder point of 12.9 units."
RP-000033,MUC01,AR00064,SUP008,2026-07-03,4.748,9.721,5,99.71,LOW,3,OPEN,0.9996,3.04,EUR,"1.14 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 99.7h against a reorder point of 9.7 units."
RP-000034,BLN01,AR00333,SUP007,2026-07-03,2.676,9,5,45.49,LOW,3,OPEN,0.95,2.95,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 45.5h against a reorder point of 9 units."
RP-000035,WDF01,AR00397,SUP003,2026-07-03,0.498,4.055,4,11.1,MEDIUM,2,OPEN,1,2.88,EUR,"1.08 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 11.1h against a reorder point of 4.1 units."
RP-000036,MUC01,AR00283,SUP008,2026-07-03,3.21,11.313,6,59.92,LOW,3,OPEN,0.9847,2.88,EUR,"1.29 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 59.9h against a reorder point of 11.3 units."
RP-000037,BLN01,AR00074,SUP007,2026-07-03,4.958,9,5,84.29,LOW,3,OPEN,0.95,2.87,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 84.3h against a reorder point of 9 units."
RP-000038,STR01,AR00289,SUP004,2026-07-03,1.302,6.213,5,29.6,LOW,3,OPEN,1,2.79,EUR,"1.06 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 29.6h against a reorder point of 6.2 units."
RP-000039,STR01,AR00084,SUP007,2026-07-03,3.937,11.012,6,88.58,LOW,3,OPEN,1,2.74,EUR,"1.07 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 88.6h against a reorder point of 11 units."
RP-000040,BLN01,AR00275,SUP002,2026-07-03,0.757,5.281,5,11.95,MEDIUM,2,OPEN,1,2.72,EUR,"1.08 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 11.9h against a reorder point of 5.3 units."
RP-000041,WDF01,AR00319,SUP008,2026-07-03,2.272,14.335,10,34.53,LOW,3,OPEN,0.9992,2.72,EUR,"1.58 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 34.5h against a reorder point of 14.3 units."
RP-000042,STR01,AR00367,SUP003,2026-07-03,0.022,3,2,0.53,CRITICAL,1,OPEN,0.95,2.7,EUR,"1 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 0.5h against a reorder point of 3 units."
RP-000043,WDF01,AR00040,SUP007,2026-07-03,3.95,9,3,94.8,LOW,3,OPEN,0.95,2.7,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 94.8h against a reorder point of 9 units."
RP-000044,WDF01,AR00333,SUP007,2026-07-03,7.032,18.869,11,123.76,LOW,3,OPEN,0.8794,2.68,EUR,"1.36 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 123.8h against a reorder point of 18.9 units."
RP-000045,WDF02,AR00286,SUP007,2026-07-03,3.666,12.733,10,43.99,LOW,3,OPEN,1,2.62,EUR,"1.17 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 44h against a reorder point of 12.7 units."
RP-000046,BLN01,AR00213,SUP008,2026-07-03,0.688,10.049,8,9.95,HIGH,1,OPEN,1,2.61,EUR,"1.18 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 10h against a reorder point of 10 units."
RP-000047,HAM01,AR00215,SUP007,2026-07-03,5.001,9,1,75.02,LOW,3,OPEN,0.95,2.57,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 75h against a reorder point of 9 units."
RP-000048,WDF02,AR00294,SUP008,2026-07-03,0.219,7,4,3.07,CRITICAL,1,OPEN,0.95,2.53,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 3.1h against a reorder point of 7 units."
RP-000049,WDF02,AR00395,SUP008,2026-07-03,5.367,9.231,4,67.98,LOW,3,OPEN,0.9978,2.49,EUR,"1.11 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 68h against a reorder point of 9.2 units."
RP-000050,BLN01,AR00292,SUP008,2026-07-03,0.968,8.767,5,15.36,MEDIUM,2,OPEN,1,2.48,EUR,"1.07 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 15.4h against a reorder point of 8.8 units."
RP-000051,STR01,AR00402,SUP007,2026-07-03,2.619,13.106,8,52.38,LOW,3,OPEN,1,2.44,EUR,"1.2 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 52.4h against a reorder point of 13.1 units."
RP-000052,STR01,AR00058,SUP002,2026-07-03,0.909,5.741,4,19.39,LOW,3,OPEN,0.9999,2.42,EUR,"1.13 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 19.4h against a reorder point of 5.7 units."
RP-000053,WDF01,AR90014,SUP004,2026-07-03,2.256,12.484,10,34.71,LOW,3,OPEN,0.9574,2.36,EUR,"1.56 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 34.7h against a reorder point of 12.5 units."
RP-000054,BLN01,AR00405,SUP008,2026-07-03,1.867,8.561,7,29.98,LOW,3,OPEN,1,2.35,EUR,"1.06 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 30h against a reorder point of 8.6 units."
RP-000055,HAM01,AR00056,SUP010,2026-07-03,0.883,4.383,4,11.77,MEDIUM,2,OPEN,1,2.33,EUR,"1.13 units/day expected, 3-day lead time from Unilever Ice Cream DE (reliability 96.8%). Cover is 11.8h against a reorder point of 4.4 units."
RP-000056,STR01,AR00276,SUP007,2026-07-03,2.804,9,4,67.3,LOW,3,OPEN,0.95,2.33,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 67.3h against a reorder point of 9 units."
RP-000057,WDF01,AR90030,SUP004,2026-07-03,2.775,11.146,9,45.57,LOW,3,OPEN,0.9819,2.27,EUR,"1.46 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 45.6h against a reorder point of 11.1 units."
RP-000058,STR01,AR00286,SUP007,2026-07-03,0.943,9,7,22.63,LOW,3,OPEN,0.95,2.21,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 22.6h against a reorder point of 9 units."
RP-000059,BLN01,AR00402,SUP007,2026-07-03,3.062,9,5,52.05,LOW,3,OPEN,0.95,2.21,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 52.1h against a reorder point of 9 units."
RP-000060,HAM01,AR90038,SUP008,2026-07-03,3.138,9.146,7,42.79,LOW,3,OPEN,1,2.19,EUR,"1.1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 42.8h against a reorder point of 9.1 units."
RP-000061,WDF01,AR00095,SUP008,2026-07-03,5.377,16.998,6,64.52,LOW,3,OPEN,0.9415,2.16,EUR,"2 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 64.5h against a reorder point of 17 units."
RP-000062,BLN01,AR00064,SUP008,2026-07-03,3.585,7,3,60.95,LOW,3,OPEN,0.95,2.15,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 60.9h against a reorder point of 7 units."
RP-000063,HAM01,AR00286,SUP007,2026-07-03,2.842,12.439,8,36.95,LOW,3,OPEN,1,2.13,EUR,"1.15 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 36.9h against a reorder point of 12.4 units."
RP-000064,WDF01,AR00286,SUP007,2026-07-03,4.253,12.892,8,85.96,LOW,3,OPEN,1,2.09,EUR,"1.19 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 86h against a reorder point of 12.9 units."
RP-000065,WDF02,AR90016,SUP008,2026-07-03,0.968,7,5,13.55,MEDIUM,2,OPEN,0.95,2.08,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 13.6h against a reorder point of 7 units."
RP-000066,WDF02,AR00213,SUP008,2026-07-03,1.443,7,5,20.2,LOW,3,OPEN,0.95,2.04,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 20.2h against a reorder point of 7 units."
RP-000067,MUC01,AR00056,SUP010,2026-07-03,0.721,3,3,17.3,LOW,3,OPEN,0.95,2.02,EUR,"1 units/day expected, 3-day lead time from Unilever Ice Cream DE (reliability 96.8%). Cover is 17.3h against a reorder point of 3 units."
RP-000068,WDF02,AR90038,SUP008,2026-07-03,1.63,7,5,22.82,LOW,3,OPEN,0.95,1.99,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 22.8h against a reorder point of 7 units."
RP-000069,STR01,AR00024,SUP002,2026-07-03,2.357,5.615,4,50.91,LOW,3,OPEN,0.9991,1.95,EUR,"1.11 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 50.9h against a reorder point of 5.6 units."
RP-000070,BLN01,AR90051,SUP007,2026-07-03,4.036,9,4,68.61,LOW,3,OPEN,0.95,1.92,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 68.6h against a reorder point of 9 units."
RP-000071,BLN01,AR00111,SUP002,2026-07-03,1.602,5.886,4,23.68,LOW,3,OPEN,0.9968,1.91,EUR,"1.15 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 23.7h against a reorder point of 5.9 units."
RP-000072,WDF02,AR90018,SUP007,2026-07-03,5.065,11.687,5,64.05,LOW,3,OPEN,0.9989,1.8,EUR,"1.11 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 64h against a reorder point of 11.7 units."
RP-000073,WDF02,AR00054,SUP007,2026-07-03,3.116,9,5,43.62,LOW,3,OPEN,0.95,1.77,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 43.6h against a reorder point of 9 units."
RP-000074,WDF01,AR00320,SUP002,2026-07-03,0.756,5.699,5,16.13,MEDIUM,2,OPEN,1,1.76,EUR,"1.13 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 16.1h against a reorder point of 5.7 units."
RP-000075,BLN01,AR00294,SUP008,2026-07-03,4.3,9.352,5,65.54,LOW,3,OPEN,0.9982,1.76,EUR,"1.12 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 65.5h against a reorder point of 9.4 units."
RP-000076,MUC01,AR00054,SUP007,2026-07-03,2.409,11.769,7,52.03,LOW,3,OPEN,1,1.75,EUR,"1.11 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 52h against a reorder point of 11.8 units."
RP-000077,BLN01,AR90038,SUP008,2026-07-03,4.346,10.125,6,64.65,LOW,3,OPEN,0.999,1.75,EUR,"1.14 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 64.6h against a reorder point of 10.1 units."
RP-000078,STR01,AR90038,SUP008,2026-07-03,4.747,10.52,6,94.94,LOW,3,OPEN,0.999,1.75,EUR,"1.2 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 94.9h against a reorder point of 10.5 units."
RP-000079,MUC01,AR00320,SUP002,2026-07-03,0.224,4,4,5.38,HIGH,1,OPEN,0.95,1.69,EUR,"1 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 5.4h against a reorder point of 4 units."
RP-000080,WDF01,AR00275,SUP002,2026-07-03,2.081,5.224,4,46.61,LOW,3,OPEN,1,1.69,EUR,"1.07 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 46.6h against a reorder point of 5.2 units."
RP-000081,MUC01,AR00026,SUP008,2026-07-03,4.187,9.358,6,90.44,LOW,3,OPEN,1,1.65,EUR,"1.11 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 90.4h against a reorder point of 9.4 units."
RP-000082,MUC01,AR00058,SUP002,2026-07-03,1.231,4,2,29.54,LOW,3,OPEN,0.95,1.57,EUR,"1 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 29.5h against a reorder point of 4 units."
RP-000083,HAM01,AR00054,SUP007,2026-07-03,3.578,12.634,7,45.82,LOW,3,OPEN,0.9997,1.51,EUR,"1.17 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 45.8h against a reorder point of 12.6 units."
RP-000084,BLN01,AR00106,SUP004,2026-07-03,4.557,6.755,3,70.43,LOW,3,OPEN,0.9088,1.46,EUR,"1.1 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 70.4h against a reorder point of 6.8 units."
RP-000085,STR01,AR00319,SUP008,2026-07-03,2.924,9.792,5,61.4,LOW,3,OPEN,0.999,1.45,EUR,"1.14 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 61.4h against a reorder point of 9.8 units."
RP-000086,WDF01,AR00058,SUP002,2026-07-03,3.645,6.917,4,66.9,LOW,3,OPEN,0.9506,1.41,EUR,"1.31 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 66.9h against a reorder point of 6.9 units."
RP-000087,HAM01,AR90019,SUP003,2026-07-03,1.683,5.516,4,19.42,LOW,3,OPEN,0.9907,1.37,EUR,"1.3 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 19.4h against a reorder point of 5.5 units."
RP-000088,STR01,AR00405,SUP008,2026-07-03,1.605,7,4,38.52,LOW,3,OPEN,0.95,1.37,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 38.5h against a reorder point of 7 units."
RP-000089,MUC01,AR00286,SUP007,2026-07-03,2.35,9,4,56.4,LOW,3,OPEN,0.95,1.33,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 56.4h against a reorder point of 9 units."
RP-000090,HAM01,AR90040,SUP003,2026-07-03,0.809,4.008,4,11.33,MEDIUM,2,OPEN,1,1.31,EUR,"1.07 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 11.3h against a reorder point of 4 units."
RP-000091,MUC01,AR00397,SUP003,2026-07-03,0.704,3,2,16.9,LOW,3,OPEN,0.95,1.3,EUR,"1 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 16.9h against a reorder point of 3 units."
RP-000092,HAM01,AR00283,SUP008,2026-07-03,2.701,7,2,40.52,LOW,3,OPEN,0.95,1.29,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 40.5h against a reorder point of 7 units."
RP-000093,HAM01,AR00319,SUP008,2026-07-03,3.881,8.946,5,53.62,LOW,3,OPEN,0.9999,1.28,EUR,"1.09 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 53.6h against a reorder point of 8.9 units."
RP-000094,WDF02,AR00026,SUP008,2026-07-03,4.116,7,3,57.62,LOW,3,OPEN,0.95,1.26,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 57.6h against a reorder point of 7 units."
RP-000095,WDF01,AR00101,SUP003,2026-07-03,1.238,3,2,29.71,LOW,3,OPEN,0.95,1.22,EUR,"1 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 29.7h against a reorder point of 3 units."
RP-000096,WDF01,AR00213,SUP008,2026-07-03,4.116,9.664,5,89.52,LOW,3,OPEN,0.992,1.22,EUR,"1.1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 89.5h against a reorder point of 9.7 units."
RP-000097,MUC01,AR90016,SUP008,2026-07-03,2.641,7,3,63.38,LOW,3,OPEN,0.95,1.21,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 63.4h against a reorder point of 7 units."
RP-000098,MUC01,AR90038,SUP008,2026-07-03,4.35,7,3,104.4,LOW,3,OPEN,0.95,1.21,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 104.4h against a reorder point of 7 units."
RP-000099,MUC01,AR00294,SUP008,2026-07-03,3.823,8.691,3,86.02,LOW,3,OPEN,0.9919,1.15,EUR,"1.07 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 86h against a reorder point of 8.7 units."
RP-000100,WDF01,AR00292,SUP008,2026-07-03,3.548,11.398,5,70.96,LOW,3,OPEN,0.8658,1.13,EUR,"1.2 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 71h against a reorder point of 11.4 units."
RP-000101,WDF01,AR00285,SUP003,2026-07-03,2.029,7.139,5,33.48,LOW,3,OPEN,0.7953,1.11,EUR,"1.45 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 33.5h against a reorder point of 7.1 units."
RP-000102,WDF01,AR00289,SUP004,2026-07-03,2.109,9.467,5,36.74,LOW,3,OPEN,0.8897,1.11,EUR,"1.38 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 36.7h against a reorder point of 9.5 units."
RP-000103,MUC01,AR00211,SUP002,2026-07-03,2.016,5.422,4,44.35,LOW,3,OPEN,1,1.1,EUR,"1.09 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 44.4h against a reorder point of 5.4 units."
RP-000104,MUC01,AR00402,SUP007,2026-07-03,4.652,9,3,111.65,LOW,3,OPEN,0.95,1.05,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 111.6h against a reorder point of 9 units."
RP-000105,HAM01,AR90037,SUP010,2026-07-03,1.237,4.367,4,16.49,LOW,3,OPEN,0.9999,1.02,EUR,"1.13 units/day expected, 3-day lead time from Unilever Ice Cream DE (reliability 96.8%). Cover is 16.5h against a reorder point of 4.4 units."
RP-000106,HAM01,AR00275,SUP002,2026-07-03,1.897,5.087,3,26.87,LOW,3,OPEN,0.9971,1.02,EUR,"1.06 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 26.9h against a reorder point of 5.1 units."
RP-000107,HAM01,AR00024,SUP002,2026-07-03,3.279,5.72,3,44.54,LOW,3,OPEN,0.9372,1,EUR,"1.1 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 44.5h against a reorder point of 5.7 units."
RP-000108,WDF01,AR90053,SUP002,2026-07-03,2.229,9.781,6,34.39,LOW,3,OPEN,0.8372,0.95,EUR,"1.56 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 34.4h against a reorder point of 9.8 units."
RP-000109,HAM01,AR00213,SUP008,2026-07-03,3.211,10.513,5,40.5,LOW,3,OPEN,0.9582,0.95,EUR,"1.19 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 40.5h against a reorder point of 10.5 units."
RP-000110,HAM01,AR00293,SUP003,2026-07-03,1.588,3,2,23.82,LOW,3,OPEN,0.95,0.94,EUR,"1 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 23.8h against a reorder point of 3 units."
